Date,Total,Desktop site,Mobile site,Zero site
2015W18,1847,1586,261,0
2015W19,1929,1702,227,0
2015W20,1461,1264,197,0
2015W21,1883,1633,250,0
2015W22,1871,1677,194,0
2015W23,2604,2277,327,0
2015W24,2559,2296,263,0
2015W25,664,538,126,0
2015W26,604,544,60,0
2015W27,573,516,57,0
2015W28,528,469,59,0
2015W29,559,419,140,0
2015W30,606,488,118,0
2015W31,1014,919,95,0
2015W32,939,842,97,0
2015W33,560,476,84,0
2015W34,680,606,74,0
2015W35,445,360,85,0
2015W36,1035,795,240,0
2015W37,1102,996,106,0
2015W38,1231,1137,94,0
2015W39,1182,1042,140,0
2015W40,1443,1380,63,0
2015W41,693,612,59,22
2015W42,741,573,156,12
2015W43,826,722,99,5
2015W44,552,473,60,19
2015W45,661,594,63,4
2015W46,693,629,49,15
2015W47,514,433,64,17
2015W48,448,401,43,4
2015W49,808,749,51,8
2015W50,625,407,207,11
2015W51,482,367,104,11
2015W52,481,359,117,5
2015W53,447,368,76,3
2016W01,1983,1326,651,6
2016W02,1359,968,386,5
2016W03,884,813,54,17
2016W04,748,673,48,27
2016W05,442,353,70,19
2016W06,461,365,86,10
2016W07,602,461,101,40
2016W08,594,467,105,22
2016W09,561,467,81,13
2016W10,254,196,47,11
2016W11,397,320,63,14
2016W12,430,326,79,25
2016W13,312,253,46,13
2016W14,424,330,90,4
2016W15,475,375,88,12
2016W16,454,306,140,8
2016W17,2744,2358,367,19
2016W18,916,777,137,2
2016W19,243,174,60,9
2016W20,533,464,49,20
2016W21,1294,990,290,14
2016W22,498,413,78,7
2016W23,2616,1653,911,52
2016W24,675,519,135,21
2016W25,933,873,54,6
2016W26,1607,1538,54,15
2016W27,363,291,51,21
2016W28,739,468,243,28
2016W29,312,236,53,23
2016W30,324,246,36,42
2016W31,398,323,56,19
2016W32,504,389,106,9
2016W33,470,383,73,14
2016W34,448,401,31,16
2016W35,223,144,68,11
2016W36,231,178,47,6
2016W37,177,130,40,7
2016W38,226,166,51,9
2016W39,281,234,42,5
2016W40,388,291,81,16
2016W41,325,267,46,12
2016W42,252,188,45,19
2016W43,173,123,35,15
2016W44,160,115,34,11
2016W45,307,227,34,46
2016W46,262,174,69,19
2016W47,233,159,46,28
2016W48,213,160,51,2
2016W49,354,264,83,7
2016W50,414,209,178,27
2016W51,313,236,76,1
2016W52,165,124,36,5
2017W01,229,162,61,6
2017W02,374,277,95,2
2017W03,202,146,44,12
2017W04,154,121,26,7
2017W05,338,242,74,22
2017W06,282,223,55,4
2017W07,263,162,64,37
2017W08,209,113,70,26
2017W09,253,179,60,14
