Date,Total,Desktop site,Mobile site,Zero site
2015W18,34381,32494,1717,170
2015W19,22000,19018,2757,225
2015W20,20053,17826,2021,206
2015W21,19804,18021,1592,191
2015W22,23143,20911,2074,158
2015W23,17817,15689,1979,149
2015W24,18777,16975,1566,236
2015W25,14673,13121,1380,172
2015W26,16165,14086,1956,123
2015W27,14422,12670,1615,137
2015W28,21286,18885,2217,184
2015W29,11752,6863,4736,153
2015W30,9038,7910,1000,128
2015W31,17175,15036,1998,141
2015W32,15487,13591,1758,138
2015W33,13669,11911,1585,173
2015W34,14268,12323,1781,164
2015W35,18424,16522,1662,240
2015W36,14716,12734,1835,147
2015W37,21212,19212,1849,151
2015W38,29803,27927,1682,194
2015W39,16641,15349,1072,220
2015W40,15810,13992,1674,144
2015W41,12879,11092,1508,279
2015W42,15766,13703,1824,239
2015W43,12099,9917,1896,286
2015W44,14021,11857,1907,257
2015W45,11971,9840,1826,305
2015W46,9399,7419,1777,203
2015W47,13296,10978,2084,234
2015W48,18604,15693,2664,247
2015W49,12088,10358,1475,255
2015W50,12930,11231,1447,252
2015W51,15522,13872,1379,271
2015W52,11203,9748,1158,297
2015W53,11278,10049,952,277
2016W01,13111,11480,1360,271
2016W02,15850,13855,1745,250
2016W03,16975,15207,1536,232
2016W04,16099,14509,1364,226
2016W05,12562,11192,1107,263
2016W06,11364,9949,1139,276
2016W07,14932,12958,1414,560
2016W08,10739,9202,1263,274
2016W09,12328,10657,1280,391
2016W10,9798,8359,1188,251
2016W11,20173,17299,2592,282
2016W12,16894,15064,1495,335
2016W13,19099,16675,2100,324
2016W14,31231,25216,5707,308
2016W15,11051,9362,1381,308
2016W16,20288,17196,2846,246
2016W17,25943,18586,7127,230
2016W18,30697,21347,9084,266
2016W19,12133,10070,1765,298
2016W20,24986,21928,2805,253
2016W21,13972,12443,1220,309
2016W22,11948,10770,920,258
2016W23,11635,10407,983,245
2016W24,24658,22529,1732,397
2016W25,13111,10907,1916,288
2016W26,11115,9600,1219,296
2016W27,8722,7548,914,260
2016W28,11483,9788,1450,245
2016W29,10986,9688,1032,266
2016W30,11091,9856,953,282
2016W31,12717,11559,897,261
2016W32,11064,9746,1086,232
2016W33,14108,12849,1120,139
2016W34,15617,14458,1044,115
2016W35,11052,9928,903,221
2016W36,9975,9108,780,87
2016W37,12808,11873,819,116
2016W38,12699,11692,872,135
2016W39,19013,17611,1278,124
2016W40,13582,12224,1100,258
2016W41,18111,16528,1409,174
2016W42,15781,14419,1212,150
2016W43,16984,15554,1261,169
2016W44,20528,19379,1060,89
2016W45,21136,19779,1256,101
