Date,Total,Desktop site,Mobile site,Zero site
2015W18,4183676361,2492140028,1645915089,45621244
2015W19,4413702778,2803621124,1564174733,45906921
2015W20,4393459716,2790990495,1554719329,47749892
2015W21,4327609461,2741291536,1538505497,47812428
2015W22,4241773903,2652649312,1543143685,45980906
2015W23,4152489507,2585983273,1518894937,47611297
2015W24,4105083708,2553352146,1503965043,47766519
2015W25,3847096235,2362469013,1438107747,46519475
2015W26,3711745094,2239750181,1423069457,48925456
2015W27,3567187646,2087358504,1431798777,48030365
2015W28,3681216118,2176725956,1456410071,48080091
2015W29,3639783712,2137031514,1455965472,46786726
2015W30,3625580772,2130534229,1447602841,47443702
2015W31,3618121179,2135878264,1434553124,47689791
2015W32,3539481400,2065203019,1428437165,45841216
2015W33,3574176067,2039300134,1488370118,46505815
2015W34,3746180561,2192689005,1506954475,46537081
2015W35,3791941436,2246828445,1500325296,44787695
2015W36,3834794061,2284447304,1504503597,45843160
2015W37,3960703405,2386549213,1527037975,47116217
2015W38,3795362973,2263276126,1485175341,46911506
2015W39,3769010269,2223229511,1498806712,46974046
2015W40,3737054270,2219144852,1469829976,48079442
2015W41,3808072695,2248455582,1504424830,55192283
2015W42,3843376500,2250890124,1529703032,62783344
2015W43,3882830782,2290420367,1529662422,62747993
2015W44,3824166763,2257117206,1505282263,61767294
2015W45,3908742052,2301078084,1547594059,60069909
2015W46,3944742188,2323477703,1560920695,60343790
2015W47,3942468251,2311221656,1570331149,60915446
2015W48,3859781229,2220687678,1578939281,60154270
2015W49,3843355970,2255085108,1529326237,58944625
2015W50,3857194691,2246751735,1551778600,58664356
2015W51,3652546568,2102437818,1491948149,58160601
2015W52,3411799804,1795470392,1563137158,53192254
2015W53,3652051148,1871599626,1728746861,51704661
2016W01,4006368590,2245168851,1705311343,55888396
2016W02,4125362940,2344476939,1723170119,57715882
2016W03,4113232200,2343669591,1710542945,59019664
2016W04,4075844116,2325833812,1692118047,57892257
2016W05,3993906491,2275971035,1660391306,57544150
2016W06,4014264012,2263463093,1692809410,57991509
2016W07,4048790641,2298392321,1690531658,59866662
2016W08,4008750987,2292696938,1656160947,59893102
2016W09,3593789676,2048995841,1491745455,53048380
2016W10,3918550963,2247053059,1612412294,59085610
2016W11,3849700982,2207281325,1583248708,59170949
2016W12,3725201051,2062922784,1604711538,57566729
2016W13,3849663303,2169999848,1621607155,58056300
2016W14,3901758928,2217295935,1622896455,61566538
2016W15,3875049341,2229281003,1584280905,61487433
2016W16,3935906143,2268582462,1604660323,62663358
2016W17,3834198313,2178248384,1594937243,61012686
2016W18,3785848175,2122171821,1601910484,61765870
2016W19,3853982138,2197262089,1594285814,62434235
2016W20,3872974493,2200640737,1609882090,62451666
2016W21,3764691192,2110485915,1593220687,60984590
2016W22,3781339309,2110764996,1609008347,61565966
2016W23,3740060707,2063194952,1614068997,62796758
2016W24,3759463559,2075611536,1620245304,63606719
2016W25,3634156501,1980307934,1591535765,62312802
2016W26,3573420205,1928812341,1583819752,60788112
2016W27,3515741742,1866376885,1588910359,60454498
2016W28,3497697803,1884435210,1552255522,61007071
2016W29,3663548648,2057205002,1543417240,62926406
2016W30,3876204385,2271897887,1541053559,63252939
2016W31,3829011330,2205849111,1560841590,62320629
2016W32,3923347436,2250071296,1610916812,62359328
2016W33,3763409208,2057008959,1645448563,60951686
2016W34,3712876243,2035476302,1618698552,58701389
2016W35,3751718801,2063684010,1630114137,57920654
2016W36,3774379360,2066761357,1672258928,35359075
2016W37,3793136209,2081523114,1650396541,61216554
2016W38,3832007845,2137133860,1655324452,39549533
2016W39,3819315076,2151104052,1632283884,35927140
2016W40,3914913277,2219989014,1658773231,36151032
2016W41,3952085446,2215384121,1699549760,37151565
2016W42,3983340275,2238988926,1706818926,37532423
2016W43,3880867174,2178629986,1666558533,35678655
2016W44,4007444605,2239634628,1735109175,32700802
2016W45,4211972462,2344652300,1829278108,38042054
2016W46,4151666820,2345912634,1768723716,37030470
2016W47,4060424098,2249742766,1774572121,36109211
2016W48,4069289116,2293720639,1740390089,35178388
2016W49,4042738163,2275030350,1733761841,33945972
2016W50,3871079002,2156720012,1681038198,33320792
2016W51,3762634070,2033243727,1697656327,31734016
2016W52,3873730618,1894559528,1945252327,33918763
2017W01,4267247019,2223591099,2011128466,32527454
2017W02,4287824542,2299638306,1954847858,33338378
2017W03,4303665505,2293911073,1974631737,35122695
2017W04,4296075470,2297263599,1963774841,35037030
2017W05,4232497299,2261871516,1935786620,34839163
2017W06,4309692154,2288511362,1983307679,37873113
2017W07,4246297525,2259456053,1947752834,39088638
2017W08,4248211596,2245676748,1963030847,39504001
2017W09,4207028865,2223764017,1944187612,39077236
2017W10,4150848022,2214656312,1898008755,38182955
2017W11,4135152211,2198785592,1898129071,38237548
2017W12,4058378970,2147863524,1871903772,38611674
2017W13,3921335696,2087063440,1797942802,36329454
2017W14,3885034197,2072635582,1778219851,34178764
2017W15,3829017006,1987486503,1807237152,34293351
2017W16,4027752134,2138257875,1852616360,36877899
2017W17,3909044088,2085231531,1788165625,35646932
2017W18,3924052458,2064897486,1824398790,34756182
2017W19,3906076481,2092175839,1779349242,34551400
2017W20,3877714924,2073912989,1768805123,34996812
2017W21,3773220414,2003777498,1736732080,32710836
2017W22,3810857956,2025263823,1752650010,32944123
2017W23,3712468832,1938255864,1740906116,33306852
2017W24,3610209045,1870182830,1706705669,33320546
2017W25,3562393098,1832830744,1697414825,32147529
2017W26,3465534714,1755470354,1678299964,31764396
2017W27,3472291295,1745973585,1694473814,31843896
