Date,Total,Desktop site,Mobile site,Zero site
2015W18,3614,3241,373,0
2015W19,4510,3964,546,0
2015W20,3608,3289,319,0
2015W21,3692,3241,451,0
2015W22,3095,2793,302,0
2015W23,3797,3216,581,0
2015W24,3930,3418,512,0
2015W25,4854,4388,466,0
2015W26,2258,2088,170,0
2015W27,1871,1611,260,0
2015W28,2368,2185,183,0
2015W29,6693,5814,879,0
2015W30,7511,1810,5701,0
2015W31,2389,1800,589,0
2015W32,1462,1118,344,0
2015W33,2020,1770,250,0
2015W34,12636,12368,268,0
2015W35,2833,2423,410,0
2015W36,2600,2203,397,0
2015W37,3095,2825,270,0
2015W38,2964,2743,221,0
2015W39,3669,3380,289,0
2015W40,3147,2772,375,0
2015W41,2703,2296,405,2
2015W42,2497,2095,371,31
2015W43,2580,2251,314,15
2015W44,3208,2961,229,18
2015W45,2259,1894,352,13
2015W46,2195,1817,377,1
2015W47,2309,1969,332,8
2015W48,1560,1390,149,21
2015W49,2069,1821,210,38
2015W50,6292,5459,820,13
2015W51,2178,1905,271,2
2015W52,2013,1652,335,26
2015W53,1578,1264,307,7
2016W01,2819,2122,688,9
2016W02,1784,1398,365,21
2016W03,4378,3846,523,9
2016W04,2042,1777,254,11
2016W05,1893,1601,263,29
2016W06,5283,4878,381,24
2016W07,3881,3053,824,4
2016W08,2450,2037,397,16
2016W09,2224,1870,346,8
2016W10,1562,1361,175,26
2016W11,2155,1833,300,22
2016W12,2678,2162,489,27
2016W13,2336,1798,529,9
2016W14,1124,942,162,20
2016W15,11555,11190,350,15
2016W16,7977,7350,620,7
2016W17,9374,4075,5270,29
2016W18,4806,3194,1588,24
2016W19,1857,1564,285,8
2016W20,19597,17178,2412,7
2016W21,5206,3880,1301,25
2016W22,13539,12946,573,20
2016W23,41281,41006,249,26
2016W24,1452,1076,357,19
2016W25,1939,1419,494,26
2016W26,4280,3285,989,6
2016W27,3618,1954,1657,7
2016W28,2276,1520,752,4
2016W29,1273,1066,184,23
2016W30,1329,1224,87,18
2016W31,2608,2107,481,20
2016W32,3183,1819,1359,5
2016W33,5236,3101,2100,35
2016W34,2775,1969,788,18
2016W35,3169,1824,1317,28
2016W36,2126,1716,377,33
2016W37,2126,1330,735,61
2016W38,1876,1476,381,19
2016W39,2010,1473,508,29
2016W40,10612,9744,864,4
2016W41,3173,2342,799,32
2016W42,5175,3676,1487,12
2016W43,3409,2322,1052,35
2016W44,3764,2412,1350,2
2016W45,2229,1735,480,14
2016W46,2878,2361,506,11
2016W47,3007,2195,802,10
2016W48,2275,1956,290,29
2016W49,10472,6288,4177,7
2016W50,2412,1651,751,10
2016W51,1900,1431,439,30
2016W52,2098,1625,433,40
2017W01,2549,2134,393,22
2017W02,2921,2425,467,29
2017W03,3075,1748,1317,10
2017W04,2004,1792,198,14
2017W05,2141,1840,293,8
2017W06,2813,2464,335,14
2017W07,2842,2381,261,200
2017W08,2267,1768,470,29
2017W09,1979,1591,366,22
