Date,Total,Desktop site,Mobile site,Zero site
2015W18,24595,22339,2030,226
2015W19,28892,24805,3957,130
2015W20,22878,20159,2564,155
2015W21,22713,20581,1998,134
2015W22,23204,21111,1948,145
2015W23,36599,33115,3271,213
2015W24,24418,21410,2864,144
2015W25,15835,14137,1539,159
2015W26,20358,18416,1828,114
2015W27,17134,15720,1246,168
2015W28,28589,26630,1867,92
2015W29,17619,11536,5978,105
2015W30,12539,11445,993,101
2015W31,23265,21768,1411,86
2015W32,19822,18333,1392,97
2015W33,15226,14031,1047,148
2015W34,22646,19613,2941,92
2015W35,18370,16567,1667,136
2015W36,18371,17154,1111,106
2015W37,18280,17003,1145,132
2015W38,20356,18890,1372,94
2015W39,15742,14566,1090,86
2015W40,17143,15774,1278,91
2015W41,14777,13582,1078,117
2015W42,18423,17004,1262,157
2015W43,13754,12584,1077,93
2015W44,18725,17457,1131,137
2015W45,13653,12613,936,104
2015W46,11131,10005,1000,126
2015W47,14845,13512,1208,125
2015W48,14663,13160,1383,120
2015W49,14133,12951,1034,148
2015W50,17901,16148,1636,117
2015W51,16587,15303,1179,105
2015W52,18050,15459,2490,101
2015W53,16989,15834,1057,98
2016W01,17616,15916,1605,95
2016W02,18198,16744,1367,87
2016W03,22023,20449,1461,113
2016W04,20732,19042,1562,128
2016W05,15457,14345,955,157
2016W06,13950,12662,1105,183
2016W07,15604,14201,1164,239
2016W08,12072,10980,967,125
2016W09,16647,15487,1012,148
2016W10,13602,12387,1019,196
2016W11,17499,16221,1112,166
2016W12,16969,15604,1242,123
2016W13,19859,18305,1401,153
2016W14,17652,16083,1379,190
2016W15,18514,17524,873,117
2016W16,17571,16280,1150,141
2016W17,29671,25926,3620,125
2016W18,19546,18407,967,172
2016W19,34237,16887,17150,200
2016W20,20561,18605,1786,170
