Date,Total,Desktop site,Mobile site,Zero site
2015W18,2293,2135,158,0
2015W19,2794,2344,450,0
2015W20,2195,1877,318,0
2015W21,2172,1661,511,0
2015W22,2141,1900,241,0
2015W23,3261,2593,668,0
2015W24,3277,2736,541,0
2015W25,1978,1556,422,0
2015W26,1971,1839,132,0
2015W27,1389,1179,210,0
2015W28,1683,1515,168,0
2015W29,1609,835,774,0
2015W30,5311,3559,1752,0
2015W31,3357,3062,295,0
2015W32,2917,2511,406,0
2015W33,2141,1939,202,0
2015W34,2077,1851,226,0
2015W35,2545,2271,274,0
2015W36,3012,2622,390,0
2015W37,2227,1986,241,0
2015W38,2159,1901,258,0
2015W39,1983,1796,187,0
2015W40,5651,5363,288,0
2015W41,2232,2016,200,16
2015W42,1685,1475,204,6
2015W43,1973,1493,476,4
2015W44,2818,2430,387,1
2015W45,1526,1185,340,1
2015W46,2145,1626,515,4
