Date,Total,Desktop site,Mobile site,Zero site
2015W18,22229,12154,10075,0
2015W19,28467,14212,14255,0
2015W20,23419,11216,12203,0
2015W21,17782,8215,9567,0
2015W22,11193,5274,5919,0
2015W23,8553,4802,3751,0
2015W24,11342,7297,4045,0
2015W25,9135,5100,4035,0
2015W26,7724,3539,4185,0
2015W27,7550,3589,3961,0
2015W28,8111,3929,4182,0
2015W29,7974,3436,4538,0
2015W30,8888,4405,4483,0
2015W31,7648,4025,3623,0
2015W32,8519,5115,3404,0
2015W33,7896,4408,3488,0
2015W34,7696,4285,3411,0
2015W35,7073,3713,3360,0
2015W36,8220,4233,3987,0
2015W37,11215,7104,4111,0
2015W38,28622,12895,15727,0
2015W39,25349,10633,14716,0
2015W40,37511,13940,23571,0
2015W41,28047,10324,17696,27
2015W42,44651,16936,27694,21
2015W43,68529,26610,41904,15
2015W44,57689,30058,27572,59
2015W45,42057,15534,26458,65
2015W46,43035,17462,25495,78
2015W47,20754,8085,12609,60
2015W48,49305,18459,30793,53
2015W49,48997,18946,29949,102
2015W50,30608,12384,18146,78
2015W51,31368,13046,18286,36
2015W52,39612,16111,23427,74
2015W53,15878,6600,9237,41
2016W01,28386,10994,17352,40
2016W02,34224,13806,20354,64
2016W03,35019,15829,19168,22
2016W04,21066,9698,11335,33
2016W05,58703,23627,35025,51
2016W06,46814,16919,29832,63
2016W07,48797,22552,26161,84
2016W08,40450,18659,21749,42
2016W09,26733,11409,15291,33
2016W10,19080,7529,11532,19
2016W11,16779,7736,8993,50
2016W12,13887,7162,6662,63
2016W13,32956,14739,18192,25
2016W14,33905,12482,21369,54
2016W15,41863,15414,26355,94
2016W16,63462,22933,40480,49
2016W17,54056,21197,32797,62
2016W18,16433,7368,9011,54
2016W19,28653,11554,17043,56
2016W20,33795,16756,17020,19
2016W21,25588,11165,14331,92
2016W22,25337,14228,11086,23
2016W23,37464,30889,6537,38
2016W24,14770,11310,3318,142
2016W25,10507,7482,2952,73
2016W26,10780,7537,3212,31
2016W27,8992,6109,2845,38
2016W28,9628,6672,2912,44
2016W29,7625,4138,3434,53
2016W30,7933,4191,3728,14
2016W31,9400,5787,3581,32
2016W32,9253,5433,3757,63
2016W33,9244,5790,3407,47
2016W34,7903,4357,3507,39
2016W35,7714,3766,3897,51
2016W36,7056,3093,3919,44
2016W37,18213,6545,11641,27
2016W38,36477,14064,22403,10
2016W39,38658,14209,24416,33
2016W40,33743,12756,20960,27
2016W41,40083,14346,25696,41
2016W42,69888,24118,45739,31
2016W43,38835,13712,25088,35
2016W44,43909,15062,28825,22
2016W45,44805,17355,27429,21
2016W46,199442,182726,16708,8
2016W47,406453,378748,27668,37
2016W48,419715,396249,23450,16
2016W49,281532,260857,20660,15
2016W50,33827,14233,19585,9
2016W51,46880,23005,23852,23
2016W52,16264,5963,10282,19
2017W01,19201,9050,10108,43
2017W02,34713,12902,21804,7
2017W03,38184,13799,24361,24
2017W04,20277,6639,13610,28
2017W05,21329,7686,13608,35
2017W06,26950,10125,16791,34
2017W07,21692,7936,13723,33
2017W08,25930,10570,15332,28
2017W09,17468,6086,11366,16
2017W10,17994,11281,6690,23
2017W11,13063,5931,7072,60
2017W12,8409,3868,4520,21
2017W13,17266,5877,11354,35
2017W14,25759,8638,17092,29
2017W15,29888,9163,20685,40
2017W16,43654,11441,32188,25
2017W17,29162,7766,21371,25
2017W18,13392,4889,8472,31
2017W19,21711,8056,13613,42
2017W20,23802,7906,15867,29
