Date,Total,Desktop site,Mobile site,Zero site
2015W18,53518,46608,6738,172
2015W19,55429,51713,3556,160
2015W20,43034,38412,4456,166
2015W21,50189,45696,4314,179
2015W22,46330,42774,3375,181
2015W23,46533,40176,5844,513
2015W24,50888,44831,5558,499
2015W25,38087,32923,4662,502
2015W26,42009,37217,4291,501
2015W27,38568,32958,4946,664
2015W28,46182,40869,4980,333
2015W29,31452,23931,7206,315
2015W30,26643,22067,4176,400
2015W31,32412,27724,4313,375
2015W32,32543,26310,5936,297
2015W33,28625,23447,4889,289
2015W34,36421,30716,5454,251
2015W35,37915,32624,5000,291
2015W36,31184,26794,4091,299
