Date,Total,Desktop site,Mobile site,Zero site
2015W18,806,739,67,0
2015W19,568,499,69,0
2015W20,593,491,102,0
2015W21,695,590,105,0
2015W22,736,632,104,0
2015W23,848,603,245,0
2015W24,1171,1029,142,0
2015W25,593,541,52,0
2015W26,564,490,74,0
2015W27,337,297,40,0
2015W28,356,333,23,0
2015W29,268,206,62,0
2015W30,280,222,58,0
2015W31,279,201,78,0
2015W32,229,72,157,0
2015W33,307,253,54,0
2015W34,543,486,57,0
2015W35,228,175,53,0
2015W36,203,146,57,0
2015W37,374,242,132,0
2015W38,267,174,93,0
2015W39,431,405,26,0
2015W40,509,394,115,0
2015W41,151,111,39,1
2015W42,163,133,30,0
2015W43,214,159,55,0
2015W44,469,453,16,0
2015W45,468,256,212,0
2015W46,547,291,256,0
2015W47,228,188,40,0
2015W48,359,286,73,0
2015W49,272,168,104,0
2015W50,566,431,135,0
2015W51,300,243,57,0
2015W52,456,374,82,0
2015W53,434,322,103,9
2016W01,522,394,128,0
2016W02,431,320,97,14
2016W03,502,409,67,26
2016W04,379,344,35,0
2016W05,507,415,92,0
2016W06,405,334,70,1
2016W07,310,238,72,0
2016W08,504,372,132,0
2016W09,301,249,50,2
2016W10,459,377,82,0
2016W11,309,282,25,2
2016W12,345,316,29,0
2016W13,388,345,42,1
2016W14,731,708,23,0
2016W15,321,294,27,0
2016W16,422,370,52,0
2016W17,5333,3455,1878,0
2016W18,593,572,19,2
2016W19,500,419,81,0
2016W20,439,349,85,5
2016W21,1016,720,296,0
2016W22,6786,6757,29,0
2016W23,45456,45429,27,0
2016W24,567,480,87,0
2016W25,571,477,94,0
2016W26,312,256,56,0
2016W27,273,194,79,0
2016W28,369,312,57,0
2016W29,344,288,56,0
2016W30,666,642,24,0
2016W31,349,305,43,1
2016W32,248,223,25,0
2016W33,251,200,50,1
