Date,Total,Desktop site,Mobile site,Zero site
2015W18,16571,14112,2459,0
2015W19,21289,18637,2652,0
2015W20,21529,19219,2310,0
2015W21,20230,18046,2184,0
2015W22,13921,11741,2180,0
2015W23,16906,14375,2531,0
2015W24,19549,17278,2271,0
2015W25,14505,12394,2111,0
2015W26,13291,11947,1344,0
2015W27,14517,13086,1431,0
2015W28,10064,8984,1080,0
2015W29,11413,9061,2352,0
2015W30,22342,15631,6711,0
2015W31,10382,9324,1058,0
2015W32,10518,8312,2206,0
2015W33,10828,9401,1427,0
2015W34,9973,7791,2182,0
2015W35,11950,10239,1711,0
2015W36,10231,8675,1556,0
2015W37,10901,9589,1312,0
2015W38,15473,13181,2292,0
2015W39,15283,12308,2975,0
2015W40,16919,13899,3020,0
2015W41,15460,12515,2918,27
2015W42,15297,12412,2804,81
2015W43,17011,13930,3034,47
2015W44,15036,12052,2914,70
2015W45,15378,12677,2589,112
2015W46,15516,12141,3251,124
2015W47,15633,12728,2787,118
2015W48,14167,11329,2696,142
