Date,Total,Desktop site,Mobile site,Zero site
2015W18,76664,62006,14658,0
2015W19,95790,78445,17345,0
2015W20,74264,56861,17403,0
2015W21,74192,56925,17267,0
2015W22,60585,40424,20161,0
2015W23,56474,37437,19037,0
2015W24,52190,37153,15037,0
2015W25,38769,28132,10637,0
2015W26,27706,19483,8223,0
2015W27,29454,20726,8728,0
2015W28,30244,21733,8511,0
2015W29,51350,21169,30181,0
2015W30,36921,23140,13781,0
2015W31,30519,21836,8683,0
2015W32,28984,20178,8806,0
2015W33,25948,16846,9102,0
2015W34,26644,17076,9568,0
2015W35,30119,19601,10518,0
2015W36,33647,23470,10177,0
2015W37,37828,27485,10343,0
2015W38,48601,32405,16196,0
2015W39,60883,40810,20073,0
2015W40,56853,37025,19828,0
2015W41,54647,36408,18195,44
2015W42,58217,37891,20256,70
2015W43,60434,39693,20651,90
2015W44,60326,41384,18864,78
2015W45,59756,39146,20495,115
2015W46,62240,41493,20676,71
2015W47,58787,38559,20163,65
2015W48,52963,33720,19192,51
2015W49,47567,29777,17677,113
2015W50,72595,52038,20428,129
2015W51,49895,34038,15807,50
2015W52,30614,18884,11681,49
2015W53,32123,19882,12197,44
2016W01,46083,28327,17707,49
2016W02,58651,35663,22941,47
2016W03,63034,38105,24883,46
2016W04,57322,35596,21663,63
2016W05,49041,29050,19915,76
2016W06,55774,33938,21797,39
2016W07,61330,39319,21970,41
2016W08,61805,39404,22372,29
2016W09,59127,37932,21104,91
2016W10,56745,37564,19104,77
2016W11,63653,45983,17583,87
2016W12,39452,25302,14111,39
2016W13,58056,38951,19029,76
2016W14,60726,40158,20501,67
2016W15,65445,42446,22945,54
2016W16,61742,39816,21837,89
2016W17,62814,38329,24420,65
2016W18,56720,35879,20766,75
2016W19,53455,34264,19094,97
2016W20,84912,46602,38267,43
2016W21,65144,42485,22607,52
2016W22,117243,98563,18608,72
2016W23,49802,32359,17374,69
2016W24,41665,27234,14360,71
2016W25,31387,19932,11347,108
2016W26,38456,25081,13307,68
2016W27,39701,25244,14398,59
2016W28,33513,21539,11880,94
2016W29,28616,17648,10898,70
2016W30,28881,17851,10934,96
2016W31,33554,21378,12104,72
2016W32,34501,20409,13997,95
2016W33,36755,23235,13435,85
2016W34,46509,29301,17108,100
2016W35,52083,32655,19307,121
2016W36,78158,63927,14194,37
2016W37,67245,44170,23010,65
2016W38,72422,46427,25894,101
2016W39,61190,36479,24618,93
2016W40,93554,66720,26766,68
2016W41,64735,39196,25475,64
2016W42,76096,46641,29388,67
2016W43,70986,40972,29925,89
2016W44,71715,40776,30885,54
2016W45,80940,45347,35532,61
2016W46,84811,46543,38214,54
2016W47,74512,44263,30135,114
2016W48,65526,38475,26898,153
2016W49,86705,41297,45340,68
2016W50,68264,37330,30848,86
2016W51,50874,29730,21018,126
2016W52,51403,25008,26209,186
2017W01,175188,143036,32016,136
2017W02,85658,46951,38637,70
2017W03,71805,40543,31193,69
2017W04,82341,45900,36379,62
2017W05,88641,51200,37350,91
2017W06,74081,43892,30038,151
2017W07,77340,47117,30055,168
2017W08,67320,39849,27314,157
2017W09,73748,44335,29296,117
2017W10,100439,70756,29530,153
2017W11,74895,47725,27078,92
2017W12,81111,50806,30244,61
2017W13,70011,41991,27899,121
2017W14,60792,35290,25437,65
2017W15,46415,27528,18831,56
2017W16,65939,39847,26039,53
2017W17,71724,43065,28532,127
2017W18,74393,44013,30220,160
2017W19,77214,45559,31453,202
2017W20,77051,47065,29899,87
2017W21,80527,48679,31750,98
2017W22,74929,45519,29322,88
2017W23,69565,42019,27498,48
2017W24,56039,34106,21825,108
2017W25,50382,33626,16655,101
2017W26,43266,26654,16535,77
2017W27,47390,29612,17637,141
2017W28,53818,37020,16704,94
