Date,Total,Desktop site,Mobile site,Zero site
2015W18,22812,20552,2244,16
2015W19,20945,19224,1671,50
2015W20,18243,16808,1383,52
2015W21,16146,15297,827,22
2015W22,16253,15292,911,50
2015W23,20688,19609,1049,30
2015W24,18038,17164,846,28
2015W25,11509,10684,815,10
2015W26,11354,10467,861,26
2015W27,14171,12397,1747,27
2015W28,15256,13814,1429,13
2015W29,11703,8754,2919,30
2015W30,8273,7465,742,66
2015W31,11714,10828,858,28
2015W32,10849,9889,941,19
2015W33,7858,6898,927,33
2015W34,13827,12415,1401,11
2015W35,10801,9479,1296,26
2015W36,9840,8776,1027,37
2015W37,11591,10614,942,35
