Date,Total,Desktop site,Mobile site,Zero site
2015W18,155882,132468,23158,256
2015W19,146423,131664,14492,267
2015W20,129173,113751,15167,255
2015W21,126822,113341,13222,259
2015W22,119468,105623,13581,264
2015W23,108677,92850,15478,349
2015W24,128444,113527,14559,358
2015W25,104305,91936,12040,329
2015W26,90514,77315,12848,351
2015W27,87894,75434,12196,264
2015W28,120408,104775,15409,224
2015W29,98205,66222,31779,204
2015W30,69512,57165,12058,289
2015W31,93490,79653,13578,259
2015W32,94565,80559,13813,193
2015W33,80067,66316,13501,250
2015W34,109320,92217,16895,208
2015W35,107369,89655,17444,270
2015W36,101577,85941,15338,298
2015W37,97692,83102,14277,313
2015W38,109946,95513,14139,294
