Date,Total,Desktop site,Mobile site,Zero site
2015W18,251768763,130704592,120628750,435421
2015W19,301298297,179463734,121259036,575527
2015W20,313457322,186903649,125964905,588768
2015W21,321453578,188923144,131920703,609731
2015W22,313976438,183824322,129595893,556223
2015W23,305570769,176861293,128132106,577370
2015W24,303558173,176008137,126404335,1145701
2015W25,257374244,143725453,112049190,1599601
2015W26,238146053,128162438,108663081,1320534
2015W27,223002527,117898110,103731258,1373159
2015W28,227108181,121940582,103501756,1665843
2015W29,223381583,118008046,103627050,1746487
2015W30,221220721,114528331,104854066,1838324
2015W31,221785559,114977425,104848587,1959547
2015W32,221096115,112973944,106148337,1973834
2015W33,230320270,117327613,110889568,2103089
