Date,Total,Desktop site,Mobile site,Zero site
2015W18,33095,30149,2886,60
2015W19,31870,29484,2353,33
2015W20,35290,27359,7862,69
2015W21,26880,23141,3684,55
2015W22,28774,26110,2609,55
2015W23,24336,21765,2530,41
2015W24,27497,24845,2593,59
2015W25,25277,23397,1864,16
2015W26,21247,19844,1361,42
2015W27,23244,21520,1690,34
2015W28,33692,31168,2491,33
2015W29,20755,16023,4669,63
2015W30,24532,17486,7010,36
2015W31,21203,18979,2179,45
2015W32,22518,20236,2248,34
2015W33,20432,18622,1772,38
2015W34,26499,23647,2795,57
2015W35,29171,26371,2758,42
2015W36,24049,21936,2047,66
2015W37,20710,19034,1651,25
2015W38,26909,25077,1769,63
2015W39,22619,21218,1351,50
2015W40,24937,22749,2113,75
2015W41,18523,17166,1303,54
2015W42,21711,19921,1719,71
2015W43,15956,14544,1325,87
2015W44,17722,16036,1613,73
2015W45,15173,13570,1524,79
2015W46,12431,11150,1194,87
2015W47,19524,17902,1543,79
2015W48,18463,16596,1812,55
2015W49,18454,16912,1429,113
2015W50,16822,15259,1467,96
2015W51,18330,16542,1475,313
2015W52,15863,14451,1367,45
2015W53,17306,16042,1168,96
2016W01,20486,19176,1273,37
2016W02,20792,18888,1802,102
2016W03,28182,26088,2010,84
2016W04,23817,22001,1757,59
2016W05,18432,16972,1378,82
2016W06,15555,14034,1409,112
2016W07,19777,17994,1712,71
2016W08,16875,15471,1186,218
2016W09,21929,17391,4443,95
2016W10,58779,56513,2164,102
2016W11,13735,12694,951,90
2016W12,20527,19067,1409,51
2016W13,21209,19610,1544,55
2016W14,22386,20446,1869,71
2016W15,16527,15180,1252,95
2016W16,20113,18770,1274,69
2016W17,27037,23850,3129,58
2016W18,21361,19763,1520,78
2016W19,16975,15896,959,120
2016W20,20222,18643,1373,206
2016W21,23693,22847,769,77
2016W22,29284,28381,791,112
2016W23,14870,14100,698,72
2016W24,38833,37140,1608,85
