Date,Total,Desktop site,Mobile site,Zero site
2015W18,76868,57943,18925,0
2015W19,244403,221507,22896,0
2015W20,80978,61175,19803,0
2015W21,83327,63919,19408,0
2015W22,33887,18013,15874,0
2015W23,132261,114772,17489,0
2015W24,159331,141929,17402,0
2015W25,107399,85160,22239,0
2015W26,37376,14680,22696,0
2015W27,31541,15180,16361,0
2015W28,33723,16133,17590,0
2015W29,47364,15025,32339,0
2015W30,36112,16657,19455,0
2015W31,36216,17563,18653,0
2015W32,38205,20757,17448,0
2015W33,53544,34973,18571,0
2015W34,55217,37153,18064,0
2015W35,40299,22884,17415,0
2015W36,45664,27844,17820,0
2015W37,38282,21509,16773,0
2015W38,29743,14258,15485,0
2015W39,38389,22323,16066,0
2015W40,40298,21349,18949,0
2015W41,36785,18337,18388,60
2015W42,40663,20028,20496,139
2015W43,40125,18594,21436,95
2015W44,44034,21871,22071,92
2015W45,41832,20576,21101,155
2015W46,40128,18758,21272,98
2015W47,41146,18610,22403,133
2015W48,36376,14642,21621,113
2015W49,37089,13896,23006,187
2015W50,54394,27780,26493,121
2015W51,40523,17535,22894,94
2015W52,37207,14103,23009,95
2015W53,38436,13857,24499,80
2016W01,42459,16654,25709,96
