Date,Total,Desktop site,Mobile site,Zero site
2015W18,2932,2636,296,0
2015W19,3454,3259,195,0
2015W20,2335,2092,243,0
2015W21,2550,2262,288,0
2015W22,1886,1525,361,0
2015W23,2479,2058,421,0
2015W24,2727,2205,522,0
2015W25,1535,1371,164,0
2015W26,1030,970,60,0
2015W27,790,736,54,0
2015W28,1424,1348,76,0
2015W29,1714,871,843,0
2015W30,922,767,155,0
2015W31,1282,1139,143,0
2015W32,3054,2987,67,0
2015W33,650,597,53,0
2015W34,1380,1299,81,0
2015W35,943,819,124,0
2015W36,1595,1420,175,0
2015W37,847,805,42,0
2015W38,1044,932,112,0
2015W39,1595,1534,61,0
2015W40,1451,1378,73,0
2015W41,836,770,63,3
2015W42,894,841,49,4
2015W43,789,699,88,2
2015W44,1192,1132,46,14
2015W45,711,625,75,11
2015W46,604,532,72,0
2015W47,687,638,48,1
2015W48,641,574,67,0
2015W49,942,783,125,34
2015W50,2515,2220,292,3
2015W51,1055,944,99,12
2015W52,1118,842,274,2
