Date,Total,Desktop site,Mobile site,Zero site
2015W18,26228,23538,2625,65
2015W19,24477,22474,1963,40
2015W20,23451,20677,2685,89
2015W21,23248,21476,1734,38
2015W22,28771,26499,2211,61
2015W23,24057,21562,2438,57
2015W24,30838,28417,2375,46
2015W25,57341,55213,2088,40
2015W26,72765,70545,2184,36
2015W27,45388,43354,1975,59
2015W28,33791,31260,2481,50
2015W29,23488,17915,5552,21
2015W30,15761,13364,2361,36
2015W31,22602,20083,2459,60
2015W32,20740,18128,2554,58
2015W33,18060,15812,2225,23
2015W34,26327,23053,3215,59
2015W35,23508,19909,3564,35
2015W36,17594,15318,2229,47
2015W37,20822,18585,2175,62
2015W38,24972,22630,2293,49
2015W39,19998,17964,1970,64
2015W40,23379,20741,2595,43
2015W41,18010,15452,2481,77
2015W42,20970,18120,2757,93
2015W43,15462,12284,3092,86
2015W44,15983,13452,2466,65
2015W45,14615,12359,2198,58
2015W46,15504,12418,2989,97
2015W47,16751,14559,2109,83
2015W48,16251,13753,2418,80
2015W49,15018,12724,2193,101
2015W50,16534,13941,2517,76
2015W51,16750,14394,2264,92
2015W52,15690,13537,2094,59
2015W53,19395,17406,1911,78
2016W01,18984,16965,1939,80
2016W02,24134,21667,2402,65
2016W03,26571,23821,2642,108
2016W04,21876,18296,3503,77
2016W05,21543,17686,3757,100
2016W06,16383,13615,2637,131
2016W07,24915,22012,2795,108
2016W08,16027,13893,2063,71
2016W09,17383,15047,2286,50
2016W10,21145,17675,3396,74
2016W11,17532,15374,2089,69
2016W12,19515,16920,2521,74
2016W13,21936,18624,3217,95
2016W14,23600,19174,4347,79
2016W15,16443,13397,2973,73
2016W16,50709,48196,2404,109
2016W17,76859,20908,55821,130
2016W18,29741,23500,6154,87
2016W19,28222,25940,2177,105
2016W20,24849,21890,2822,137
2016W21,18430,16450,1920,60
2016W22,20567,18164,2294,109
2016W23,14736,12511,2082,143
2016W24,35609,33281,2184,144
2016W25,14457,11880,2481,96
2016W26,17400,14929,2401,70
2016W27,13777,11777,1951,49
2016W28,17219,15177,1965,77
2016W29,16746,13935,2719,92
2016W30,17293,15238,2000,55
2016W31,19545,17632,1858,55
2016W32,18149,16122,1953,74
2016W33,20545,18310,2158,77
2016W34,26547,24482,2009,56
2016W35,16883,14821,1993,69
2016W36,17068,15411,1618,39
2016W37,20841,18785,1963,93
2016W38,23621,21832,1745,44
2016W39,28548,26155,2347,46
2016W40,23362,21167,2144,51
2016W41,30501,28091,2361,49
2016W42,26276,23639,2334,303
2016W43,35448,33454,1926,68
2016W44,27728,26026,1630,72
2016W45,28097,25715,2322,60
2016W46,30594,28513,2030,51
2016W47,23669,21692,1925,52
2016W48,23502,21508,1883,111
2016W49,21304,19449,1777,78
2016W50,24048,22010,1996,42
2016W51,29414,27050,2318,46
2016W52,37966,35392,1523,1051
2017W01,22813,20841,1904,68
2017W02,22404,20474,1876,54
2017W03,23176,20947,2086,143
2017W04,21498,18427,3011,60
2017W05,21739,19292,2361,86
2017W06,25320,22951,2229,140
2017W07,37411,33456,3816,139
2017W08,91655,87873,3683,99
2017W09,21435,19284,2047,104
2017W10,22137,19789,2193,155
2017W11,26876,24548,2176,152
2017W12,26003,23520,2357,126
2017W13,25573,23267,2156,150
2017W14,22977,19874,3018,85
2017W15,22928,20618,2247,63
2017W16,46553,44572,1958,23
2017W17,24718,22856,1787,75
2017W18,20524,18743,1727,54
2017W19,81088,78707,2331,50
2017W20,26637,24632,1898,107
2017W21,25203,22805,2347,51
