Date,Total,Desktop site,Mobile site,Zero site
2015W18,24133,14191,9942,0
2015W19,26697,15938,10759,0
2015W20,23868,13260,10608,0
2015W21,23632,12693,10939,0
2015W22,23045,11693,11352,0
2015W23,25519,12533,12986,0
2015W24,28645,15324,13321,0
2015W25,25814,12551,13263,0
2015W26,25213,11525,13688,0
2015W27,27912,11937,15975,0
2015W28,26218,9759,16459,0
2015W29,28942,9427,19515,0
2015W30,25167,9555,15612,0
2015W31,27116,10758,16358,0
2015W32,24771,9289,15482,0
2015W33,24760,9700,15060,0
2015W34,26969,10240,16729,0
2015W35,23113,9387,13726,0
2015W36,34911,19692,15219,0
2015W37,28179,11747,16432,0
2015W38,27612,11298,16314,0
2015W39,28895,12669,16226,0
2015W40,26679,11010,15669,0
2015W41,24972,9382,13782,1808
2015W42,23875,9013,11292,3570
2015W43,22335,8376,10884,3075
2015W44,24032,9655,11041,3336
2015W45,23081,8669,11197,3215
2015W46,17974,6111,9337,2526
2015W47,23490,8683,12061,2746
2015W48,22335,7209,11648,3478
2015W49,23192,8831,11399,2962
2015W50,30167,14075,13237,2855
2015W51,23035,8266,11995,2774
2015W52,22989,8142,11944,2903
2015W53,31272,16303,12003,2966
2016W01,30931,11730,15842,3359
2016W02,25530,9041,13015,3474
2016W03,31032,11794,15811,3427
2016W04,26092,9587,12980,3525
2016W05,26597,9215,14180,3202
2016W06,25907,8912,13823,3172
2016W07,30048,11703,15001,3344
2016W08,26312,8811,14075,3426
2016W09,29408,10801,16040,2567
2016W10,34831,16405,15014,3412
2016W11,28389,10323,15128,2938
2016W12,22478,8418,11806,2254
2016W13,55037,38425,13923,2689
2016W14,24192,7639,13650,2903
2016W15,44881,28959,13104,2818
2016W16,44624,26838,15181,2605
2016W17,132091,113464,16152,2475
2016W18,67377,51146,13429,2802
2016W19,91189,74624,13654,2911
2016W20,75656,55222,17363,3071
2016W21,34089,12329,18630,3130
2016W22,47272,25815,18112,3345
2016W23,68271,41966,22119,4186
2016W24,42173,13885,24354,3934
2016W25,45012,13441,27223,4348
2016W26,50242,15489,30063,4690
2016W27,45671,14503,27117,4051
2016W28,40317,11581,24522,4214
2016W29,39269,9741,25201,4327
2016W30,42352,11500,26249,4603
2016W31,43895,11858,27618,4419
2016W32,44510,14316,25537,4657
2016W33,43044,13152,24690,5202
2016W34,49923,15095,29678,5150
2016W35,50326,14563,30756,5007
2016W36,50930,16775,30921,3234
2016W37,56685,19187,31633,5865
2016W38,54858,15827,38171,860
2016W39,47367,13236,34048,83
2016W40,73359,39560,33722,77
2016W41,45331,12092,33110,129
2016W42,50607,14864,35647,96
2016W43,45482,17226,28108,148
2016W44,62020,26471,35380,169
