Date,Total,Desktop site,Mobile site,Zero site
2015W18,158386,122822,35508,56
2015W19,126510,117841,8594,75
2015W20,93470,87518,5852,100
2015W21,132387,124681,7584,122
2015W22,91911,86490,5270,151
2015W23,71899,67465,4332,102
2015W24,94794,89777,4912,105
2015W25,103393,98500,4821,72
2015W26,83479,76548,6799,132
2015W27,82127,76224,5792,111
2015W28,120341,111309,8985,47
2015W29,94087,64800,29197,90
2015W30,56801,50463,6221,117
2015W31,73916,66658,7167,91
2015W32,76363,68828,7403,132
2015W33,65519,57300,8123,96
2015W34,87501,69837,17547,117
2015W35,83738,72999,10644,95
2015W36,86592,76299,10120,173
2015W37,79603,73566,5927,110
2015W38,109701,101889,7728,84
2015W39,89296,84109,5086,101
2015W40,82802,74586,8083,133
