Date,Total,Desktop site,Mobile site,Zero site
2015W18,60081,39536,20545,0
2015W19,81994,53832,28162,0
2015W20,87561,56385,31176,0
2015W21,100178,65928,34250,0
2015W22,89712,54847,34865,0
2015W23,89427,57170,32257,0
2015W24,93251,62566,30685,0
2015W25,89274,58258,31016,0
2015W26,81943,54119,27824,0
2015W27,75490,49653,25837,0
2015W28,68983,44554,24429,0
2015W29,66538,44002,22536,0
2015W30,70253,52944,17309,0
2015W31,51042,36448,14594,0
2015W32,43152,28610,14542,0
2015W33,47800,33755,14045,0
2015W34,59617,42305,17312,0
2015W35,65534,46019,19515,0
2015W36,76231,51689,24542,0
2015W37,78231,51998,26233,0
2015W38,96936,62140,34796,0
2015W39,88077,53366,34711,0
2015W40,85377,52919,32458,0
2015W41,84306,49486,34755,65
2015W42,82566,48442,33998,126
2015W43,82995,49340,33548,107
2015W44,80521,49365,31016,140
2015W45,92197,56425,35665,107
2015W46,85614,48838,36656,120
2015W47,79216,47322,31813,81
2015W48,76310,46289,29927,94
2015W49,69678,41987,27572,119
2015W50,71452,43268,28087,97
2015W51,68174,40802,27189,183
2015W52,48663,33317,15301,45
2015W53,49498,31444,18000,54
2016W01,84187,52804,31317,66
2016W02,90432,53824,36543,65
2016W03,92712,56096,36592,24
2016W04,90894,53324,37531,39
2016W05,87430,52097,35278,55
2016W06,92676,59403,33221,52
2016W07,95446,60576,34830,40
2016W08,85096,52121,32890,85
2016W09,71074,43613,27418,43
2016W10,83122,53823,29251,48
2016W11,82684,53682,28953,49
2016W12,71232,49692,21440,100
2016W13,71100,46237,24809,54
2016W14,74119,45634,28430,55
2016W15,75232,47888,27290,54
2016W16,76991,49683,27255,53
2016W17,82318,53517,28753,48
2016W18,75100,47396,27665,39
2016W19,82536,53079,29407,50
2016W20,78402,47887,30423,92
2016W21,81618,49277,32290,51
2016W22,75611,47105,28419,87
2016W23,74187,48014,26098,75
2016W24,72537,45748,26709,80
2016W25,77513,48782,28654,77
2016W26,78670,52795,25834,41
2016W27,66669,40874,25724,71
2016W28,60487,36186,24158,143
2016W29,53360,32777,20498,85
