Date,Total,Desktop site,Mobile site,Zero site
2015W18,4274,3747,527,0
2015W19,4947,4416,531,0
2015W20,4199,3759,440,0
2015W21,4019,3533,486,0
2015W22,3957,3553,404,0
2015W23,6374,5731,643,0
2015W24,5935,5305,630,0
2015W25,2860,2441,419,0
2015W26,3261,2909,352,0
2015W27,2833,2562,271,0
2015W28,3115,2756,359,0
2015W29,3123,2709,414,0
2015W30,3092,2739,353,0
2015W31,2929,2617,312,0
2015W32,5681,3554,2127,0
2015W33,3176,2768,408,0
2015W34,3390,3083,307,0
2015W35,2191,1854,337,0
2015W36,2345,1920,425,0
2015W37,3565,3128,437,0
2015W38,3851,3332,519,0
2015W39,4268,3419,849,0
2015W40,4345,3750,595,0
