Date,Total,Desktop site,Mobile site,Zero site
2015W18,58379,44011,13206,1162
2015W19,65774,50276,14537,961
2015W20,65652,46752,17609,1291
2015W21,75501,54052,20029,1420
2015W22,75866,54191,20293,1382
2015W23,71846,50604,19991,1251
2015W24,74862,53219,20059,1584
2015W25,87138,67096,18678,1364
2015W26,74796,54235,19280,1281
2015W27,64673,45479,17685,1509
2015W28,90595,70045,19078,1472
2015W29,59911,36270,22257,1384
2015W30,60096,37903,20792,1401
2015W31,65240,45007,18994,1239
2015W32,66258,46032,18990,1236
2015W33,58054,38559,18154,1341
2015W34,70239,50592,18117,1530
2015W35,59819,41188,17475,1156
2015W36,82428,62727,18327,1374
2015W37,58003,38640,17510,1853
2015W38,67696,47187,18740,1769
2015W39,59691,40259,17653,1779
2015W40,66829,45911,19011,1907
2015W41,59106,36713,20230,2163
2015W42,56359,31444,22447,2468
2015W43,61713,36206,23063,2444
2015W44,59930,37466,20490,1974
2015W45,62282,38285,21350,2647
2015W46,57986,32229,22637,3120
2015W47,64036,38537,22854,2645
2015W48,54840,33837,18797,2206
2015W49,57879,34754,21011,2114
2015W50,58470,34567,22087,1816
2015W51,64010,40375,21704,1931
2015W52,59137,35637,21330,2170
2015W53,168043,123068,43037,1938
2016W01,61468,38123,21305,2040
2016W02,68953,43526,23389,2038
2016W03,91028,64539,24427,2062
2016W04,64265,39798,22751,1716
2016W05,68940,36021,30183,2736
2016W06,65616,35501,26609,3506
2016W07,69031,42159,24238,2634
2016W08,57107,32752,21983,2372
2016W09,65056,43217,19836,2003
2016W10,57190,34209,20877,2104
2016W11,64295,39145,23294,1856
2016W12,201332,176949,22489,1894
2016W13,84643,63812,19175,1656
2016W14,88517,57411,29166,1940
2016W15,64543,47509,15655,1379
2016W16,104509,83302,19273,1934
2016W17,88175,65607,20701,1867
2016W18,117055,91041,23805,2209
2016W19,119301,86752,30040,2509
2016W20,81569,52864,26537,2168
2016W21,78050,51753,24303,1994
2016W22,86528,60135,24306,2087
2016W23,66420,39062,25149,2209
2016W24,146395,110728,32516,3151
2016W25,105970,75919,27534,2517
