Date,Total,Desktop site,Mobile site,Zero site
2015W18,3480,3035,445,0
2015W19,3578,2951,627,0
2015W20,2620,2189,431,0
2015W21,3111,2500,611,0
2015W22,3971,3390,581,0
2015W23,4518,3879,639,0
2015W24,5526,4713,813,0
2015W25,3120,2675,445,0
2015W26,2553,2170,383,0
2015W27,2265,1903,362,0
2015W28,2773,2299,474,0
2015W29,3128,2662,466,0
2015W30,2553,2091,462,0
2015W31,3803,3296,507,0
2015W32,3081,2605,476,0
2015W33,3416,2950,466,0
2015W34,2427,2070,357,0
2015W35,2641,2235,406,0
2015W36,2303,1871,432,0
2015W37,3496,3128,368,0
2015W38,2502,2189,313,0
2015W39,3713,3262,451,0
2015W40,2157,1886,271,0
2015W41,2257,1943,296,18
2015W42,2959,2632,298,29
2015W43,2055,1646,368,41
2015W44,2259,1840,385,34
2015W45,2906,2471,385,50
2015W46,2717,2197,442,78
2015W47,1978,1515,426,37
2015W48,1134,715,354,65
2015W49,1304,841,436,27
2015W50,1671,993,658,20
2015W51,1969,1293,630,46
2015W52,2090,1428,603,59
2015W53,2734,1986,695,53
2016W01,1594,1015,560,19
2016W02,1792,1223,506,63
2016W03,2490,1949,483,58
2016W04,1765,1376,367,22
2016W05,1009,739,263,7
2016W06,940,686,230,24
2016W07,1408,1058,312,38
2016W08,1420,965,424,31
2016W09,2828,2334,474,20
2016W10,1042,655,360,27
2016W11,1982,1563,397,22
2016W12,3382,2931,432,19
2016W13,1155,802,329,24
2016W14,889,649,232,8
2016W15,1198,971,211,16
2016W16,2238,1864,352,22
2016W17,16993,7627,9330,36
2016W18,5565,5161,383,21
2016W19,4924,4515,353,56
2016W20,3043,2616,394,33
2016W21,6503,2825,3660,18
