Date,Total,Desktop site,Mobile site,Zero site
2015W18,20505081,8406804,12089931,8346
2015W19,20684182,9196741,11480402,7039
2015W20,20579863,9408155,11164299,7409
2015W21,20442381,9170483,11264612,7286
2015W22,21482512,9725430,11750064,7018
2015W23,21140818,9886636,11246999,7183
2015W24,23194208,10596008,12589587,8613
2015W25,19355375,9433040,9915188,7147
2015W26,18930598,8877294,10045210,8094
2015W27,21706620,11937557,9761322,7741
2015W28,17082114,7617058,9457270,7786
2015W29,16254270,7131477,9115323,7470
2015W30,16778397,6924274,9846079,8044
2015W31,17456428,7202488,10244793,9147
2015W32,17610441,7065103,10536380,8958
2015W33,18325623,7335562,10981502,8559
2015W34,18727124,7867297,10850988,8839
2015W35,17549471,7670391,9871053,8027
2015W36,17297101,7678045,9610552,8504
2015W37,17809510,8124232,9677116,8162
2015W38,17374496,7911003,9455672,7821
2015W39,15907938,7075729,8823963,8246
2015W40,17902663,7512839,10381227,8597
2015W41,18313513,7745896,10556920,10697
2015W42,18640556,8004362,10624834,11360
2015W43,18437757,8092307,10333786,11664
2015W44,17836632,8116758,9708746,11128
2015W45,18575243,8511808,10051532,11903
2015W46,18308401,8386895,9910007,11499
2015W47,19109757,8365131,10732709,11917
2015W48,17602660,7945595,9645848,11217
2015W49,17548573,7611616,9925167,11790
2015W50,17547016,7550683,9984437,11896
2015W51,14781769,7189534,7580926,11309
2015W52,14065758,6242283,7814505,8970
2015W53,12803345,6203083,6591716,8546
2016W01,15858278,7244738,8603204,10336
2016W02,17814193,7277307,10525796,11090
2016W03,19102657,7967306,11122752,12599
2016W04,18123326,7174191,10936729,12406
2016W05,16650988,6407517,10231574,11897
2016W06,18650418,6197509,12439446,13463
2016W07,18504350,7225524,11264393,14433
2016W08,18559430,7237808,11307817,13805
2016W09,16378099,6291987,10074546,11566
2016W10,18829185,7705035,11110862,13288
2016W11,19955988,8774876,11168100,13012
2016W12,19155739,8424494,10718803,12442
2016W13,18874728,8379207,10483374,12147
2016W14,19197787,8691281,10493361,13145
2016W15,21218359,8938042,12267389,12928
2016W16,19582624,8233416,11335274,13934
2016W17,19279780,8093197,11172659,13924
2016W18,19006087,7550968,11440468,14651
2016W19,20200880,8988548,11197668,14664
2016W20,20186252,8893360,11277906,14986
2016W21,20724907,8906025,11803756,15126
2016W22,20746355,8479620,12252063,14672
2016W23,22500830,8646262,13840489,14079
2016W24,21869342,8989661,12863041,16640
2016W25,20353054,7826766,12510164,16124
2016W26,19373916,7231159,12128401,14356
2016W27,17009086,6772984,10222237,13865
2016W28,15982454,6875651,9092276,14527
2016W29,16953690,7539052,9399975,14663
2016W30,15934813,6711463,9208771,14579
2016W31,16857523,6789090,10054607,13826
2016W32,16835146,6629762,10192559,12825
2016W33,17234454,6765598,10455538,13318
2016W34,16348599,6926294,9408901,13404
2016W35,15931784,6664316,9252211,15257
2016W36,16092264,6920359,9162917,8988
2016W37,16731419,6438455,10274671,18293
2016W38,16987069,7912975,9062287,11807
2016W39,17732848,8304032,9417704,11112
2016W40,17229623,7972269,9247099,10255
2016W41,17267703,8164990,9082102,20611
2016W42,17249220,7994718,9244342,10160
2016W43,17720064,8148786,9562035,9243
2016W44,16876767,7938422,8928939,9406
2016W45,17813436,8374977,9426686,11773
2016W46,17021841,8098322,8911610,11909
2016W47,17509355,8675836,8822621,10898
2016W48,16978266,7924206,9042717,11343
2016W49,18653470,8212267,10429142,12061
2016W50,17375203,7406952,9955548,12703
2016W51,16560844,7154609,9393934,12301
2016W52,16689109,6926596,9725086,37427
2017W01,17313381,7104473,10196607,12301
2017W02,17494990,7285141,10198086,11763
2017W03,17527620,7651111,9864734,11775
2017W04,15546748,6062238,9474112,10398
2017W05,17206450,6908845,10284748,12857
2017W06,16780678,7100663,9667987,12028
2017W07,16715085,6931239,9772353,11493
2017W08,16273350,6794758,9466268,12324
2017W09,15679722,6447122,9222063,10537
