Date,Total,Desktop site,Mobile site,Zero site
2015W18,1693,1460,233,0
2015W19,1640,1467,173,0
2015W20,1130,1016,114,0
2015W21,1634,1421,213,0
2015W22,1783,1664,119,0
2015W23,2831,2554,277,0
2015W24,2939,2621,318,0
2015W25,859,771,88,0
2015W26,1107,1067,40,0
2015W27,899,877,22,0
2015W28,956,886,70,0
2015W29,865,771,94,0
2015W30,1077,991,86,0
2015W31,1513,1385,128,0
2015W32,1231,1167,64,0
2015W33,1597,1521,76,0
2015W34,1371,1326,45,0
2015W35,416,359,57,0
2015W36,372,304,68,0
2015W37,1026,967,59,0
2015W38,1048,981,67,0
2015W39,1356,1270,86,0
2015W40,1369,1314,55,0
2015W41,596,552,44,0
2015W42,711,614,95,2
2015W43,639,591,48,0
2015W44,580,537,42,1
2015W45,645,586,56,3
2015W46,1372,1290,77,5
2015W47,584,555,29,0
2015W48,440,416,21,3
2015W49,399,333,64,2
2015W50,728,625,97,6
2015W51,616,558,53,5
2015W52,395,356,37,2
2015W53,543,498,37,8
2016W01,541,511,27,3
2016W02,542,500,34,8
2016W03,1210,1077,110,23
2016W04,751,713,37,1
2016W05,677,630,37,10
2016W06,367,349,14,4
2016W07,491,459,24,8
2016W08,475,413,62,0
2016W09,628,552,75,1
2016W10,202,181,13,8
2016W11,308,281,18,9
2016W12,328,281,44,3
2016W13,347,303,36,8
2016W14,293,253,36,4
2016W15,1301,1265,31,5
2016W16,432,396,32,4
2016W17,15095,6283,8804,8
2016W18,1456,1419,37,0
2016W19,1958,1923,33,2
2016W20,1065,1035,23,7
2016W21,2181,919,1260,2
2016W22,1070,966,90,14
2016W23,462,432,19,11
2016W24,1242,1113,118,11
2016W25,2408,2364,30,14
2016W26,6053,5985,62,6
2016W27,422,383,38,1
2016W28,298,254,41,3
2016W29,284,270,14,0
2016W30,307,284,23,0
2016W31,529,487,41,1
2016W32,474,449,23,2
2016W33,1245,1143,96,6
2016W34,560,535,16,9
2016W35,412,376,31,5
2016W36,431,410,21,0
2016W37,436,377,44,15
2016W38,514,468,46,0
2016W39,665,639,21,5
2016W40,1857,1738,113,6
2016W41,461,440,13,8
2016W42,363,344,19,0
2016W43,417,350,67,0
2016W44,285,270,11,4
2016W45,441,404,36,1
2016W46,918,861,53,4
2016W47,478,403,71,4
2016W48,400,364,29,7
2016W49,548,509,31,8
2016W50,529,451,69,9
2016W51,607,488,104,15
2016W52,454,438,15,1
2017W01,608,543,60,5
2017W02,664,582,80,2
2017W03,434,377,52,5
2017W04,486,469,14,3
2017W05,496,419,53,24
2017W06,702,642,49,11
2017W07,741,616,115,10
2017W08,471,425,28,18
2017W09,579,473,94,12
2017W10,440,346,74,20
2017W11,565,505,37,23
2017W12,606,568,18,20
2017W13,744,685,44,15
2017W14,608,548,47,13
2017W15,588,545,40,3
2017W16,666,614,52,0
2017W17,885,852,30,3
2017W18,623,594,28,1
2017W19,681,655,24,2
2017W20,525,495,29,1
2017W21,482,451,31,0
2017W22,601,538,63,0
2017W23,585,568,16,1
2017W24,320,310,8,2
2017W25,489,457,32,0
2017W26,405,379,26,0
2017W27,584,559,24,1
2017W28,472,383,89,0
2017W29,476,422,54,0
