Date,Total,Desktop site,Mobile site,Zero site
2015W18,7501,6218,1283,0
2015W19,7851,5993,1858,0
2015W20,8274,6422,1852,0
2015W21,6651,5046,1605,0
2015W22,7824,6052,1772,0
2015W23,7903,6226,1677,0
2015W24,8195,6955,1240,0
2015W25,3197,2547,650,0
2015W26,2985,2363,622,0
2015W27,2508,2025,483,0
2015W28,2546,2014,532,0
2015W29,2452,1855,597,0
2015W30,2766,2268,498,0
2015W31,2960,2420,540,0
2015W32,3424,2876,548,0
2015W33,3904,3173,731,0
2015W34,2924,2378,546,0
2015W35,2651,2018,633,0
2015W36,4543,3127,1416,0
2015W37,7376,5279,2097,0
2015W38,6447,4663,1784,0
2015W39,6973,4899,2074,0
2015W40,6277,4747,1530,0
2015W41,5968,4403,1563,2
2015W42,6377,4647,1720,10
2015W43,5655,4271,1370,14
2015W44,4212,3239,972,1
2015W45,6748,4874,1869,5
2015W46,6687,4824,1845,18
2015W47,6044,4273,1769,2
2015W48,5614,4096,1512,6
2015W49,5900,4115,1780,5
2015W50,6265,4474,1787,4
2015W51,5475,3888,1582,5
2015W52,3394,2232,1161,1
2015W53,2898,2217,679,2
2016W01,5033,3908,1120,5
2016W02,6823,4922,1898,3
2016W03,7652,5470,2174,8
2016W04,6606,4472,2129,5
2016W05,5350,3533,1817,0
2016W06,5176,3336,1826,14
2016W07,5582,3810,1763,9
2016W08,7391,5398,1991,2
2016W09,7439,5729,1709,1
2016W10,4963,3298,1644,21
2016W11,4599,3106,1490,3
2016W12,3519,2542,977,0
2016W13,4642,3172,1469,1
2016W14,5710,3844,1866,0
2016W15,11278,9513,1765,0
2016W16,6015,4026,1981,8
2016W17,24963,5197,19765,1
2016W18,4853,3195,1658,0
2016W19,6196,4481,1714,1
2016W20,6335,4680,1651,4
2016W21,5685,4351,1333,1
2016W22,4323,3386,930,7
2016W23,45638,44693,944,1
2016W24,4966,4042,912,12
2016W25,11229,10660,551,18
2016W26,12222,11702,520,0
2016W27,2068,1613,451,4
2016W28,1984,1467,513,4
2016W29,1864,1358,505,1
2016W30,1894,1439,442,13
2016W31,2002,1548,451,3
2016W32,2092,1653,437,2
2016W33,4238,3533,702,3
2016W34,3184,2531,646,7
2016W35,2422,1675,743,4
2016W36,6272,3697,2575,0
2016W37,5623,3207,2416,0
2016W38,5710,3627,2083,0
2016W39,5468,3452,1980,36
2016W40,9336,7161,2171,4
2016W41,5839,3584,2242,13
2016W42,5585,3405,2175,5
2016W43,4933,3076,1857,0
2016W44,3993,2715,1276,2
2016W45,6438,4135,2303,0
2016W46,5707,3569,2138,0
2016W47,5028,3064,1963,1
2016W48,5660,3817,1839,4
2016W49,5592,3761,1830,1
2016W50,9659,7635,2022,2
2016W51,21391,20065,1323,3
2016W52,3890,3146,743,1
2017W01,5623,4255,1363,5
2017W02,6294,3826,2465,3
2017W03,5636,3397,2237,2
2017W04,5134,3198,1932,4
2017W05,4730,2816,1902,12
2017W06,6012,3686,2283,43
2017W07,4878,2971,1896,11
2017W08,6720,4161,2551,8
