Date,Total,Desktop site,Mobile site,Zero site
2015W18,3700,3437,263,0
2015W19,6408,6109,299,0
2015W20,7497,7267,230,0
2015W21,6097,5669,428,0
2015W22,4916,4633,283,0
2015W23,5069,4788,281,0
2015W24,5256,4853,403,0
2015W25,1861,1775,86,0
2015W26,1365,1362,3,0
2015W27,1658,1639,19,0
2015W28,1437,1431,6,0
2015W29,2277,2202,75,0
2015W30,2068,2056,12,0
2015W31,1928,1894,34,0
2015W32,1600,1587,13,0
2015W33,1705,1623,82,0
2015W34,1191,1182,9,0
2015W35,1485,1416,69,0
2015W36,7090,4848,2242,0
2015W37,8326,8316,10,0
2015W38,24919,24892,27,0
2015W39,26570,26558,12,0
2015W40,5634,5617,17,0
2015W41,4804,4784,20,0
2015W42,6696,5687,1002,7
2015W43,5279,4408,870,1
2015W44,6181,4886,1291,4
