Date,Total,Desktop site,Mobile site,Zero site
2015W18,1698,1206,492,0
2015W19,2368,1972,396,0
2015W20,1971,1578,393,0
2015W21,2292,1714,578,0
2015W22,1761,1380,381,0
2015W23,2399,2124,275,0
2015W24,3611,3174,437,0
2015W25,1247,1177,70,0
2015W26,2099,1410,689,0
2015W27,1265,1126,139,0
2015W28,1763,1633,130,0
2015W29,1423,1388,35,0
2015W30,2665,1860,805,0
2015W31,1736,1690,46,0
2015W32,1658,1641,17,0
2015W33,1777,1723,54,0
2015W34,1349,1298,51,0
2015W35,1463,1410,53,0
2015W36,1117,1081,36,0
2015W37,3491,3447,44,0
2015W38,1822,1710,112,0
2015W39,1263,1176,87,0
2015W40,1674,1653,21,0
2015W41,1025,977,22,26
2015W42,866,591,218,57
2015W43,1551,975,511,65
2015W44,762,555,185,22
2015W45,724,468,195,61
2015W46,706,524,142,40
2015W47,739,478,180,81
2015W48,913,590,233,90
2015W49,982,669,190,123
2015W50,1202,852,269,81
2015W51,886,576,243,67
2015W52,941,613,270,58
2015W53,1128,702,309,117
2016W01,1484,985,410,89
2016W02,1380,1005,294,81
2016W03,1772,1297,373,102
2016W04,1183,770,316,97
2016W05,1288,751,411,126
2016W06,890,473,323,94
2016W07,1188,675,415,98
