Date,Total,Desktop site,Mobile site,Zero site
2015W18,2239,1983,256,0
2015W19,3418,2934,484,0
2015W20,2379,2135,244,0
2015W21,2061,1753,308,0
2015W22,1902,1605,297,0
2015W23,2205,1880,325,0
2015W24,2929,2431,498,0
2015W25,1899,1762,137,0
2015W26,1354,1327,27,0
2015W27,824,802,22,0
2015W28,1896,1874,22,0
2015W29,1124,1106,18,0
2015W30,3187,3161,26,0
2015W31,5224,4791,433,0
2015W32,1720,1695,25,0
2015W33,1388,1344,44,0
2015W34,1047,998,49,0
2015W35,852,759,93,0
2015W36,1140,1053,87,0
2015W37,1743,1699,44,0
2015W38,2061,1966,95,0
2015W39,2446,1863,583,0
2015W40,2765,1864,901,0
2015W41,1417,1387,30,0
2015W42,1114,1008,105,1
2015W43,957,899,58,0
2015W44,1979,1900,79,0
2015W45,1227,1071,156,0
