Date,Total,Desktop site,Mobile site,Zero site
2015W18,2585,2352,233,0
2015W19,3166,2859,307,0
2015W20,2174,1726,448,0
2015W21,1995,1793,202,0
2015W22,1779,1324,455,0
2015W23,2726,2137,589,0
2015W24,2790,2075,715,0
2015W25,1388,1207,181,0
2015W26,1095,1014,81,0
2015W27,822,768,54,0
2015W28,1152,1096,56,0
2015W29,1528,547,981,0
2015W30,677,524,153,0
2015W31,895,719,176,0
2015W32,2552,2410,142,0
2015W33,628,601,27,0
2015W34,662,588,74,0
2015W35,1138,464,674,0
2015W36,886,796,90,0
2015W37,712,684,28,0
2015W38,714,641,73,0
