Date,Total,Desktop site,Mobile site,Zero site
2015W18,9384,8316,1068,0
2015W19,12446,11383,1063,0
2015W20,8422,7548,874,0
2015W21,8261,6899,1362,0
2015W22,4275,3003,1272,0
2015W23,5299,3511,1788,0
2015W24,5064,3630,1434,0
2015W25,4217,3409,808,0
2015W26,2767,2504,263,0
2015W27,3031,2671,360,0
2015W28,2742,2558,184,0
2015W29,4278,2415,1863,0
2015W30,1989,1762,227,0
2015W31,3822,3028,794,0
2015W32,4610,4166,444,0
2015W33,2994,2079,915,0
2015W34,3671,3358,313,0
2015W35,3154,2619,535,0
2015W36,2512,2201,311,0
2015W37,4509,3958,551,0
2015W38,3933,3531,402,0
2015W39,4828,4351,477,0
2015W40,3718,3221,497,0
2015W41,5058,4612,446,0
2015W42,2836,2572,260,4
2015W43,3234,2753,457,24
2015W44,4604,4295,301,8
2015W45,2891,2452,424,15
2015W46,1918,1465,438,15
2015W47,2513,2111,390,12
2015W48,1824,1584,240,0
2015W49,2118,1647,430,41
2015W50,7990,6783,1201,6
2015W51,6750,6176,574,0
2015W52,3858,2927,925,6
2015W53,2046,1630,415,1
2016W01,4384,2797,1558,29
2016W02,1952,1740,205,7
2016W03,8501,5770,2728,3
2016W04,3133,2832,296,5
2016W05,6051,5658,392,1
2016W06,3870,3003,855,12
2016W07,7234,5847,1387,0
2016W08,3386,2555,814,17
2016W09,6812,3784,3025,3
2016W10,4562,4246,299,17
2016W11,5684,4114,1569,1
2016W12,3221,2352,865,4
2016W13,3692,2463,1219,10
2016W14,1823,1431,382,10
2016W15,14819,13570,1237,12
2016W16,11259,7646,3591,22
2016W17,5731,3173,2556,2
2016W18,6314,3058,3253,3
2016W19,11432,10961,468,3
2016W20,27456,16600,10854,2
2016W21,10117,5289,4824,4
2016W22,14910,13638,1263,9
2016W23,34739,34307,429,3
2016W24,2894,2318,564,12
2016W25,4174,2870,1299,5
2016W26,8453,5886,2566,1
2016W27,10351,6467,3878,6
2016W28,4848,3074,1771,3
2016W29,2297,1798,489,10
2016W30,2687,2244,437,6
2016W31,4844,4114,725,5
2016W32,5750,3978,1761,11
2016W33,7880,5084,2794,2
2016W34,7053,4459,2590,4
2016W35,10404,5493,4878,33
2016W36,4150,3024,1110,16
2016W37,7063,5405,1635,23
2016W38,5005,4343,661,1
2016W39,3744,3215,518,11
2016W40,17913,15429,2481,3
2016W41,6303,4243,2028,32
2016W42,8365,5085,3273,7
2016W43,8265,2714,5548,3
2016W44,7840,3637,4201,2
2016W45,8078,2884,5189,5
