Date,Total,Desktop site,Mobile site,Zero site
2015W18,1605,1605,0,0
2015W19,1924,1924,0,0
2015W20,1596,1595,1,0
2015W21,1965,1965,0,0
2015W22,2113,2113,0,0
2015W23,1608,1608,0,0
2015W24,1841,1841,0,0
2015W25,1945,1945,0,0
2015W26,1710,1710,0,0
2015W27,1227,1227,0,0
2015W28,1040,1040,0,0
2015W29,757,757,0,0
2015W30,1038,1038,0,0
2015W31,1244,1244,0,0
2015W32,863,863,0,0
2015W33,2563,2563,0,0
2015W34,2896,2896,0,0
2015W35,2388,2388,0,0
2015W36,3372,3372,0,0
2015W37,2236,2236,0,0
2015W38,1652,1652,0,0
2015W39,2174,2174,0,0
2015W40,1990,1990,0,0
2015W41,1481,1481,0,0
2015W42,1370,1366,0,4
2015W43,1502,1464,0,38
2015W44,1358,1349,0,9
2015W45,1440,1428,0,12
2015W46,1219,1211,1,7
2015W47,2303,2271,0,32
2015W48,1224,1198,0,26
2015W49,1081,1070,0,11
2015W50,1837,1821,0,16
2015W51,1810,1808,0,2
2015W52,1157,1152,0,5
2015W53,1888,1877,0,11
2016W01,2282,2263,0,19
2016W02,5897,5810,0,87
2016W03,5341,5262,0,79
2016W04,1959,1950,1,8
2016W05,1140,1137,0,3
2016W06,1107,1098,0,9
2016W07,924,917,0,7
2016W08,1904,1901,0,3
2016W09,1054,959,1,94
2016W10,1031,1025,2,4
2016W11,1270,1265,0,5
2016W12,1043,1036,0,7
2016W13,1995,1971,6,18
2016W14,1736,1716,3,17
2016W15,2968,2962,0,6
2016W16,1821,1795,0,26
2016W17,4695,4687,0,8
2016W18,1267,1213,0,54
2016W19,1405,1389,0,16
2016W20,2435,2409,3,23
2016W21,1625,1564,4,57
2016W22,1279,1258,3,18
2016W23,5808,5763,2,43
2016W24,1780,1742,1,37
2016W25,1060,1049,1,10
2016W26,1216,1215,0,1
2016W27,930,925,2,3
2016W28,948,897,0,51
2016W29,947,752,1,194
2016W30,1105,1086,0,19
2016W31,886,882,0,4
2016W32,1502,1498,0,4
2016W33,1365,1353,2,10
2016W34,4761,4755,2,4
2016W35,1089,1062,1,26
2016W36,1425,1420,4,1
2016W37,1005,987,2,16
2016W38,1122,1114,3,5
