Date,Total,Desktop site,Mobile site,Zero site
2015W18,2660,2233,427,0
2015W19,3087,2572,515,0
2015W20,2422,2020,402,0
2015W21,2091,1671,420,0
2015W22,2048,1565,483,0
2015W23,2356,1793,563,0
2015W24,3077,2315,762,0
2015W25,1536,1317,219,0
2015W26,1300,1134,166,0
2015W27,1322,1179,143,0
2015W28,1573,1409,164,0
2015W29,1349,717,632,0
2015W30,993,861,132,0
2015W31,1544,1193,351,0
2015W32,1070,902,168,0
2015W33,1067,939,128,0
2015W34,14231,7167,7064,0
2015W35,1995,1799,196,0
2015W36,1654,1501,153,0
2015W37,1293,1227,66,0
2015W38,1267,1123,144,0
2015W39,1706,1605,101,0
2015W40,1414,927,487,0
2015W41,1766,1648,108,10
2015W42,972,730,206,36
2015W43,1163,971,84,108
2015W44,1722,1590,84,48
