Date,Total,Desktop site,Mobile site,Zero site
2015W18,71205,60778,10427,0
2015W19,76713,62571,14142,0
2015W20,64792,50481,14311,0
2015W21,64291,49905,14386,0
2015W22,42651,27640,15011,0
2015W23,42818,27438,15380,0
2015W24,39897,27154,12743,0
2015W25,37020,26315,10705,0
2015W26,30792,20314,10478,0
2015W27,26910,19027,7883,0
2015W28,28292,20559,7733,0
2015W29,55516,22849,32667,0
2015W30,31059,23453,7606,0
2015W31,28222,19930,8292,0
2015W32,24545,16714,7831,0
2015W33,22821,14572,8249,0
2015W34,28389,20145,8244,0
2015W35,27895,19177,8718,0
2015W36,27169,17817,9352,0
2015W37,34504,24117,10387,0
2015W38,42741,27137,15604,0
2015W39,52906,34117,18789,0
2015W40,51727,27593,24134,0
2015W41,61522,35312,26137,73
2015W42,55615,31498,23841,276
2015W43,58240,33846,24206,188
2015W44,89464,68499,20827,138
2015W45,47503,28149,19204,150
2015W46,55804,36420,19188,196
2015W47,52886,33216,19302,368
2015W48,43715,26546,17009,160
2015W49,44912,25885,18821,206
2015W50,78684,56509,21970,205
2015W51,48313,34508,13583,222
2015W52,26545,15238,11235,72
2015W53,26770,16179,10536,55
2016W01,39768,23938,15783,47
2016W02,50114,30872,19074,168
2016W03,55432,33225,22052,155
2016W04,50334,29873,20259,202
2016W05,42523,25595,16581,347
2016W06,48540,33084,15236,220
2016W07,51816,31964,19655,197
2016W08,48304,29499,18673,132
2016W09,47063,28639,18319,105
2016W10,47110,28091,18869,150
2016W11,52042,32766,19124,152
2016W12,49406,30160,19068,178
2016W13,49082,30024,18817,241
2016W14,43091,25615,17287,189
2016W15,68386,51482,16758,146
