Date,Total,Desktop site,Mobile site,Zero site
2015W18,43047,40660,2324,63
2015W19,35696,33730,1835,131
2015W20,33438,31001,2287,150
2015W21,30319,28507,1679,133
2015W22,32615,31052,1462,101
2015W23,30851,28981,1785,85
2015W24,31969,30179,1701,89
2015W25,34249,32820,1343,86
2015W26,28208,26787,1348,73
2015W27,31599,29907,1590,102
2015W28,40910,37975,2815,120
2015W29,23336,16947,6260,129
2015W30,17371,15670,1608,93
2015W31,27229,24977,2159,93
2015W32,28083,26017,1959,107
2015W33,21050,19177,1785,88
2015W34,30403,26716,3614,73
2015W35,29451,26826,2529,96
2015W36,29237,24746,4407,84
2015W37,23297,21520,1633,144
2015W38,56311,53870,2277,164
2015W39,47102,45405,1520,177
2015W40,30592,28404,2011,177
2015W41,23771,21804,1751,216
2015W42,28320,26175,1921,224
2015W43,20447,18596,1633,218
2015W44,21929,20165,1558,206
2015W45,19432,17684,1500,248
2015W46,16691,14750,1626,315
2015W47,24676,21824,2528,324
2015W48,25181,22451,2455,275
2015W49,23845,21402,2121,322
2015W50,22053,19676,2073,304
2015W51,265770,263542,1898,330
2015W52,21492,19749,1559,184
2015W53,28248,26677,1429,142
2016W01,24433,22592,1673,168
2016W02,28458,26339,1943,176
2016W03,41804,38214,3407,183
2016W04,31232,28498,2542,192
2016W05,26046,24125,1777,144
2016W06,22381,20503,1700,178
2016W07,24699,22663,1848,188
2016W08,26358,24738,1438,182
2016W09,23884,22057,1690,137
2016W10,19715,17998,1568,149
2016W11,19928,17691,2097,140
2016W12,34862,32500,2172,190
2016W13,90947,65786,24997,164
2016W14,107830,91105,16541,184
2016W15,65273,46221,18829,223
2016W16,48240,39304,8786,150
2016W17,64215,52677,11352,186
2016W18,141090,112181,28717,192
2016W19,24409,20791,3436,182
2016W20,38174,33973,3442,759
2016W21,29929,28461,1333,135
2016W22,32408,30624,1649,135
2016W23,21444,20171,1147,126
2016W24,73400,71390,1858,152
2016W25,20108,18917,1047,144
2016W26,33480,31543,1770,167
2016W27,15377,14087,1162,128
2016W28,23175,21634,1421,120
2016W29,23161,21727,1317,117
