Date,Total,Desktop site,Mobile site,Zero site
2015W18,352291,255054,97237,0
2015W19,443983,318333,125650,0
2015W20,545763,404028,141735,0
2015W21,507764,373501,134263,0
2015W22,432758,318869,113889,0
2015W23,390603,286283,104320,0
2015W24,372790,274514,98276,0
2015W25,469348,374475,94873,0
2015W26,357766,266537,91229,0
2015W27,338186,255061,83125,0
2015W28,336916,254478,82438,0
2015W29,317713,225959,91754,0
2015W30,305957,223751,82206,0
2015W31,306974,226137,80837,0
2015W32,320815,237033,83782,0
2015W33,287932,202009,85923,0
2015W34,313118,223146,89972,0
2015W35,324808,230716,94092,0
2015W36,426158,280305,145853,0
2015W37,602376,386921,215455,0
2015W38,763462,542000,221462,0
2015W39,739255,506942,232313,0
2015W40,660282,416532,243750,0
2015W41,689097,424136,250177,14784
2015W42,682408,401951,243711,36746
2015W43,673695,395088,242278,36329
2015W44,579712,345769,203125,30818
2015W45,546579,350430,171146,25003
2015W46,763388,448371,273062,41955
2015W47,810975,502941,267973,40061
2015W48,742191,437358,264220,40613
2015W49,740480,441053,259905,39522
2015W50,767320,445320,278577,43423
