Date,Total,Desktop site,Mobile site,Zero site
2015W18,51694,49539,2139,16
2015W19,46413,44492,1893,28
2015W20,38057,35635,2397,25
2015W21,45495,43302,2168,25
2015W22,39087,37374,1681,32
2015W23,30111,28645,1453,13
2015W24,39080,37364,1680,36
2015W25,41282,39842,1409,31
2015W26,31675,30275,1386,14
2015W27,34505,32591,1890,24
2015W28,42928,39765,3117,46
2015W29,30184,22967,7181,36
2015W30,21293,19596,1647,50
2015W31,30379,27542,2822,15
2015W32,26632,24707,1908,17
2015W33,22368,20467,1861,40
2015W34,38455,34169,4261,25
2015W35,28959,25883,3038,38
2015W36,25812,23719,2067,26
2015W37,28646,26149,2461,36
2015W38,34433,32240,2158,35
2015W39,29111,27391,1678,42
2015W40,29737,27609,2086,42
2015W41,25703,24058,1614,31
2015W42,26063,23904,2111,48
2015W43,19280,17294,1905,81
2015W44,24010,21664,2283,63
2015W45,21532,19161,2007,364
2015W46,19900,17468,1905,527
2015W47,23188,20745,2324,119
2015W48,22474,19467,2961,46
2015W49,18529,16570,1869,90
2015W50,18246,16154,2022,70
2015W51,19218,17720,1446,52
2015W52,18961,17357,1554,50
2015W53,20087,18410,1617,60
2016W01,22413,20287,2088,38
2016W02,26272,24211,2006,55
2016W03,36798,33508,3265,25
2016W04,26792,24594,2128,70
2016W05,30531,28518,1968,45
2016W06,18479,16880,1476,123
2016W07,24765,22931,1770,64
2016W08,20222,18907,1249,66
2016W09,95243,93983,1208,52
2016W10,17113,15695,1352,66
2016W11,16081,14960,1069,52
2016W12,22827,20953,1800,74
2016W13,25261,23489,1704,68
2016W14,27875,25731,2080,64
2016W15,17212,15830,1328,54
2016W16,18765,17330,1379,56
2016W17,50785,18544,32168,73
2016W18,54903,25729,29061,113
2016W19,18389,16990,1325,74
2016W20,37725,33454,4140,131
2016W21,19677,18369,1230,78
2016W22,19600,18246,1244,110
2016W23,17618,16435,1087,96
2016W24,25287,23776,1365,146
2016W25,19572,18710,798,64
2016W26,28908,25976,2878,54
