Date,Total,Desktop site,Mobile site,Zero site
2015W18,3997608,3113525,819819,64264
2015W19,3472325,2486748,914051,71526
2015W20,3659132,2687444,894167,77521
2015W21,3686223,2738927,868511,78785
2015W22,4268015,3277646,915725,74644
2015W23,5984662,4936976,963064,84622
2015W24,2821816,1823483,909348,88985
2015W25,2756660,1757037,900731,98892
2015W26,2230374,1301072,833043,96259
2015W27,2225870,1228410,908813,88647
2015W28,2617446,1650017,882401,85028
2015W29,2409764,1436147,895928,77689
2015W30,2121778,1163422,876244,82112
2015W31,2093488,1180864,826261,86363
2015W32,2152635,1200718,865946,85971
2015W33,2271026,1269907,910143,90976
2015W34,2310691,1297613,919586,93492
2015W35,2324773,1316835,921819,86119
2015W36,2660189,1486056,1086073,88060
2015W37,2708904,1604405,1016058,88441
2015W38,2768958,1688796,997210,82952
2015W39,2582092,1528059,975081,78952
2015W40,2776671,1705201,982590,88880
2015W41,2629137,1515673,1018583,94881
2015W42,2592577,1497258,991932,103387
2015W43,2518057,1441568,977234,99255
2015W44,2827458,1650245,1076093,101120
2015W45,2802632,1675607,1029147,97878
2015W46,2868594,1659790,1117644,91160
2015W47,2754550,1580800,1077430,96320
2015W48,2464806,1408142,963468,93196
2015W49,2483621,1437883,960497,85241
2015W50,2525010,1434499,1005072,85439
2015W51,2394275,1286198,1028407,79670
2015W52,2077370,1021335,981330,74705
2015W53,1932540,953882,900412,78246
2016W01,2549000,1406902,1045413,96685
2016W02,3001093,1771750,1129702,99641
2016W03,3539051,2289324,1145649,104078
2016W04,3001581,1741457,1161484,98640
2016W05,2984026,1782104,1101057,100865
2016W06,2996601,1814301,1086710,95590
2016W07,4590249,3168570,1322395,99284
2016W08,4618192,3353619,1161731,102842
2016W09,3243160,2182880,974943,85337
2016W10,2832280,1679472,1061465,91343
2016W11,2578071,1495996,998098,83977
2016W12,2396325,1342250,934906,119169
