Date,Total,Desktop site,Mobile site,Zero site
2015W18,34852,29089,5763,0
2015W19,35411,30576,4835,0
2015W20,30972,25984,4988,0
2015W21,206222,201593,4629,0
2015W22,25633,19793,5840,0
2015W23,24915,20415,4500,0
2015W24,33020,27979,5041,0
2015W25,22646,17883,4763,0
2015W26,12667,10315,2352,0
2015W27,11133,8960,2173,0
2015W28,8868,6890,1978,0
2015W29,10598,7513,3085,0
2015W30,9282,6376,2906,0
2015W31,9106,7126,1980,0
2015W32,10073,8088,1985,0
2015W33,11722,9225,2497,0
2015W34,15680,13011,2669,0
2015W35,13438,11012,2426,0
2015W36,13652,10317,3335,0
2015W37,15673,11514,4159,0
2015W38,17722,13625,4097,0
2015W39,19425,15291,4134,0
2015W40,26122,21393,4729,0
2015W41,21238,16349,4881,8
2015W42,26992,21307,5658,27
2015W43,23859,19310,4532,17
2015W44,25341,20808,4508,25
2015W45,24850,19249,5532,69
2015W46,23621,18189,5413,19
2015W47,23394,18398,4968,28
2015W48,23706,18673,5013,20
2015W49,23429,18230,5172,27
2015W50,26301,20724,5486,91
2015W51,20841,15857,4968,16
2015W52,20652,16667,3965,20
2015W53,19296,15089,4179,28
2016W01,26603,20883,5705,15
2016W02,26104,20305,5792,7
2016W03,25776,19845,5923,8
2016W04,21838,16743,5085,10
2016W05,35337,26897,8431,9
2016W06,29295,22071,7192,32
2016W07,26530,20998,5513,19
2016W08,31326,25292,5961,73
2016W09,27882,22404,5461,17
2016W10,24026,18716,5301,9
2016W11,24167,18580,5574,13
2016W12,23265,17132,6121,12
2016W13,24705,18559,6139,7
2016W14,23900,18690,5198,12
2016W15,23587,18111,5461,15
2016W16,24969,19701,5256,12
2016W17,26434,17787,8638,9
2016W18,34731,29386,5333,12
2016W19,26180,19443,6724,13
2016W20,21743,16566,5144,33
2016W21,34307,28618,5684,5
2016W22,21972,16732,5229,11
2016W23,58134,52324,5796,14
2016W24,25456,17532,7901,23
2016W25,16713,12373,4332,8
2016W26,15778,11887,3865,26
2016W27,15404,11275,4075,54
2016W28,9865,7170,2679,16
2016W29,10938,7980,2943,15
2016W30,12968,10157,2798,13
2016W31,14917,11901,2996,20
2016W32,19363,14468,4881,14
2016W33,14667,11029,3630,8
2016W34,12834,10018,2795,21
2016W35,16141,12875,3256,10
2016W36,20975,16305,4667,3
2016W37,25751,19497,6240,14
2016W38,24899,19174,5671,54
2016W39,26070,19237,6818,15
2016W40,28470,20280,8174,16
2016W41,31698,23569,8112,17
2016W42,33808,25835,7949,24
2016W43,27652,20699,6944,9
2016W44,26377,19025,7336,16
2016W45,27845,19612,8221,12
2016W46,29151,21516,7595,40
2016W47,32841,25435,7391,15
2016W48,27530,20176,7332,22
2016W49,23918,17545,6360,13
2016W50,25723,19166,6548,9
2016W51,20553,14796,5749,8
2016W52,127084,122321,4757,6
2017W01,679121,671257,7853,11
2017W02,888487,880365,8113,9
2017W03,96522,88952,7566,4
2017W04,25569,18356,7205,8
2017W05,28908,20103,8773,32
