Date,Total,Desktop site,Mobile site,Zero site
2015W18,16559,14466,1960,133
2015W19,18554,16852,1498,204
2015W20,19996,17864,1920,212
2015W21,18240,16456,1575,209
2015W22,15315,13545,1529,241
2015W23,19006,17155,1674,177
2015W24,19134,16999,1842,293
2015W25,11622,10426,995,201
2015W26,11886,10874,844,168
2015W27,12310,11056,1056,198
2015W28,13171,11842,1128,201
2015W29,10162,8529,1510,123
2015W30,10390,9117,1159,114
2015W31,12515,11169,1142,204
2015W32,12667,11167,1321,179
2015W33,8466,7204,1090,172
2015W34,11655,10065,1423,167
2015W35,10394,8710,1512,172
2015W36,10428,8932,1344,152
2015W37,10403,8965,1219,219
2015W38,11648,9907,1511,230
2015W39,9558,7934,1316,308
2015W40,9755,8420,1153,182
2015W41,8336,7078,1063,195
2015W42,9599,8179,1185,235
2015W43,6938,5757,986,195
2015W44,8316,7005,1089,222
2015W45,6878,4727,1071,1080
2015W46,6874,3665,1007,2202
2015W47,7785,6575,883,327
2015W48,7393,6303,935,155
