Date,Total,Desktop site,Mobile site,Zero site
2015W18,1353,1134,219,0
2015W19,1632,1358,274,0
2015W20,2060,1888,172,0
2015W21,1222,995,227,0
2015W22,1686,1487,199,0
2015W23,2656,2277,379,0
2015W24,2684,2364,320,0
2015W25,728,581,147,0
2015W26,903,776,127,0
2015W27,1020,914,106,0
2015W28,960,838,122,0
2015W29,918,780,138,0
2015W30,1072,969,103,0
2015W31,1327,1112,215,0
2015W32,1185,1034,151,0
2015W33,1366,1193,173,0
2015W34,1138,966,172,0
2015W35,669,514,155,0
2015W36,663,483,180,0
2015W37,1131,999,132,0
2015W38,1236,1057,179,0
2015W39,1424,1254,170,0
2015W40,1394,1194,200,0
2015W41,863,696,144,23
2015W42,1040,808,204,28
2015W43,881,710,143,28
2015W44,895,661,187,47
2015W45,871,607,224,40
