Date,Total,Desktop site,Mobile site,Zero site
2015W18,38812,18643,20169,0
2015W19,40203,19838,20365,0
2015W20,46979,21170,25809,0
2015W21,68860,27402,41458,0
2015W22,60479,25507,34972,0
2015W23,59914,26294,33620,0
2015W24,58700,27780,30920,0
2015W25,51062,23556,27506,0
2015W26,48009,22366,25643,0
2015W27,49233,22925,26308,0
2015W28,49567,22558,27009,0
2015W29,50532,22854,27678,0
2015W30,44852,20271,24581,0
2015W31,37495,17165,20330,0
2015W32,46819,21189,25630,0
2015W33,44129,20750,23379,0
2015W34,52847,24919,27928,0
2015W35,52511,24296,28215,0
2015W36,54941,25669,29272,0
2015W37,57649,28965,28684,0
2015W38,56973,27769,29204,0
2015W39,53360,24474,28886,0
2015W40,45413,21021,24392,0
2015W41,39055,18110,19368,1577
2015W42,39238,18198,17699,3341
