Date,Total,Desktop site,Mobile site,Zero site
2015W18,34101,21611,12490,0
2015W19,37769,25196,12573,0
2015W20,38593,24970,13623,0
2015W21,34580,21701,12879,0
2015W22,34491,21726,12765,0
2015W23,28662,18685,9977,0
2015W24,27519,18329,9190,0
2015W25,26517,17892,8625,0
2015W26,25263,16783,8480,0
2015W27,29987,21935,8052,0
2015W28,21750,13980,7770,0
2015W29,19000,10993,8007,0
2015W30,20230,12321,7909,0
2015W31,23809,15915,7894,0
2015W32,34895,26597,8298,0
2015W33,22645,14569,8076,0
2015W34,21778,13500,8278,0
2015W35,21680,12784,8896,0
2015W36,22621,14307,8314,0
2015W37,36083,27146,8937,0
2015W38,23113,13805,9308,0
2015W39,24010,15201,8809,0
2015W40,39900,27055,12845,0
2015W41,41851,26603,15235,13
2015W42,39140,22789,16330,21
2015W43,47309,30187,17087,35
2015W44,36807,23841,12944,22
2015W45,43123,26302,16801,20
2015W46,48832,29340,19474,18
2015W47,50081,27183,22886,12
2015W48,48785,27638,21125,22
2015W49,44664,25050,19594,20
2015W50,47146,27622,19486,38
2015W51,46513,27234,19232,47
2015W52,46602,27285,19304,13
2015W53,42817,24073,18717,27
2016W01,47082,25553,21520,9
2016W02,43186,25618,17562,6
2016W03,34985,20812,14141,32
2016W04,32510,18767,13716,27
2016W05,28410,15772,12607,31
2016W06,30464,17041,13402,21
2016W07,35463,21717,13727,19
2016W08,35179,20281,14856,42
2016W09,39347,26048,13288,11
2016W10,37119,23011,14080,28
2016W11,48644,34392,14226,26
2016W12,38377,22491,15863,23
2016W13,40819,24147,16640,32
2016W14,37554,20486,17026,42
2016W15,43529,27539,15974,16
2016W16,32914,18923,13954,37
2016W17,37286,20414,16862,10
2016W18,37012,23314,13637,61
2016W19,35976,22522,13443,11
2016W20,32960,18998,13944,18
2016W21,37780,21680,16084,16
2016W22,32843,18274,14563,6
2016W23,27878,15912,11920,46
2016W24,28711,17305,11340,66
2016W25,29574,17907,11635,32
2016W26,55519,44564,10942,13
2016W27,18660,8515,10115,30
2016W28,20707,10723,9968,16
2016W29,22099,11298,10770,31
2016W30,22627,11091,11525,11
2016W31,23997,12379,11593,25
2016W32,25305,14250,11037,18
2016W33,28414,16976,11421,17
2016W34,25308,14049,11181,78
2016W35,23069,11188,11834,47
2016W36,24437,12254,12155,28
2016W37,20250,9235,11008,7
2016W38,28804,14305,14474,25
2016W39,32855,15763,17054,38
2016W40,42418,23206,19203,9
2016W41,35586,16537,19028,21
2016W42,38364,18596,19755,13
2016W43,35153,16314,18825,14
2016W44,36410,16541,19861,8
2016W45,41881,18385,23444,52
2016W46,43646,18006,25617,23
2016W47,41351,20143,21194,14
2016W48,37376,17384,19950,42
2016W49,44537,25422,19110,5
2016W50,37935,18672,19197,66
2016W51,59280,37121,22149,10
2016W52,39062,16508,22537,17
2017W01,43757,19278,24468,11
2017W02,35294,16052,19217,25
2017W03,28430,12679,15734,17
2017W04,27813,12697,15078,38
2017W05,26858,11610,15218,30
2017W06,35105,15331,19739,35
2017W07,40042,17888,22130,24
2017W08,41930,18831,23035,64
2017W09,40768,17994,22755,19
2017W10,42079,19220,22815,44
2017W11,44365,21555,22773,37
2017W12,45024,21295,23693,36
2017W13,46065,20087,25956,22
2017W14,45334,19288,25997,49
2017W15,40245,17864,22364,17
2017W16,38727,17114,21582,31
2017W17,38037,17844,20162,31
2017W18,37682,16769,20843,70
2017W19,37552,16642,20842,68
2017W20,36286,15574,20676,36
2017W21,34610,14834,19742,34
2017W22,31933,14069,17817,47
2017W23,29735,13106,16569,60
2017W24,27518,12276,15218,24
2017W25,25286,11277,13969,40
2017W26,21770,8842,12801,127
2017W27,26866,11744,15056,66
2017W28,28276,12027,16228,21
