Date,Total,Desktop site,Mobile site,Zero site
2015W18,17789282,17789282,0,0
2015W19,16905043,16905043,0,0
2015W20,16438771,16438771,0,0
2015W21,16478334,16478334,0,0
2015W22,16680857,16680857,0,0
2015W23,16320135,16320135,0,0
2015W24,15103250,15103250,0,0
2015W25,14959126,14959126,0,0
2015W26,14927893,14927893,0,0
2015W27,15732092,15732092,0,0
2015W28,14853939,14853939,0,0
2015W29,12880512,12880512,0,0
2015W30,12979593,12979593,0,0
2015W31,13007396,13007396,0,0
2015W32,12475488,12475488,0,0
2015W33,12633636,12633636,0,0
2015W34,13004446,13004446,0,0
2015W35,13351323,13351323,0,0
2015W36,13184916,13184916,0,0
2015W37,14320226,14320226,0,0
2015W38,13013780,13013780,0,0
2015W39,13282832,13282832,0,0
2015W40,13593221,13593221,0,0
2015W41,15549664,15549664,0,0
2015W42,15801956,15801956,0,0
2015W43,16296031,16296031,0,0
