Date,Total,Desktop site,Mobile site,Zero site
2015W18,839,723,116,0
2015W19,1563,1502,61,0
2015W20,727,672,55,0
2015W21,1023,923,100,0
2015W22,770,678,92,0
2015W23,1164,1065,99,0
2015W24,780,732,48,0
2015W25,542,532,10,0
2015W26,302,296,6,0
2015W27,340,311,29,0
2015W28,448,423,25,0
2015W29,413,372,41,0
2015W30,531,475,56,0
2015W31,637,608,29,0
2015W32,399,383,16,0
2015W33,256,254,2,0
2015W34,996,991,5,0
2015W35,310,283,27,0
2015W36,407,376,31,0
2015W37,1463,1435,28,0
2015W38,923,886,37,0
2015W39,708,691,17,0
2015W40,945,933,12,0
2015W41,222,214,8,0
2015W42,502,432,69,1
2015W43,356,344,12,0
2015W44,472,457,15,0
2015W45,322,312,10,0
2015W46,223,217,5,1
2015W47,167,157,10,0
2015W48,225,211,14,0
2015W49,199,189,5,5
2015W50,308,281,27,0
2015W51,335,284,51,0
2015W52,258,235,16,7
2015W53,359,341,17,1
2016W01,603,589,14,0
2016W02,645,630,12,3
2016W03,698,671,24,3
2016W04,582,576,5,1
2016W05,323,291,30,2
2016W06,182,174,8,0
2016W07,255,241,12,2
2016W08,332,264,61,7
2016W09,239,221,18,0
2016W10,138,130,8,0
2016W11,186,178,8,0
2016W12,270,267,3,0
2016W13,184,165,19,0
2016W14,266,241,8,17
2016W15,223,207,9,7
2016W16,214,203,11,0
2016W17,2495,2478,17,0
2016W18,275,246,23,6
2016W19,183,163,18,2
2016W20,262,243,18,1
2016W21,940,926,3,11
2016W22,250,249,0,1
2016W23,7774,7763,11,0
2016W24,541,492,43,6
2016W25,289,274,15,0
2016W26,295,256,25,14
2016W27,206,189,17,0
2016W28,234,210,23,1
2016W29,211,196,15,0
