Date,Total,Desktop site,Mobile site,Zero site
2015W18,17810,14105,3705,0
2015W19,27669,20613,7056,0
2015W20,29077,21175,7902,0
2015W21,23426,17362,6064,0
2015W22,16249,11929,4320,0
2015W23,16007,12829,3178,0
2015W24,20810,17805,3005,0
2015W25,15595,13427,2168,0
2015W26,11296,9617,1679,0
2015W27,10819,8168,2651,0
2015W28,12895,10526,2369,0
2015W29,11416,8042,3374,0
2015W30,13509,10976,2533,0
2015W31,10456,8192,2264,0
2015W32,16222,13641,2581,0
2015W33,12409,10463,1946,0
2015W34,11922,10053,1869,0
2015W35,12692,10593,2099,0
2015W36,35186,25112,10074,0
2015W37,52942,36946,15996,0
2015W38,60715,49847,10868,0
2015W39,70071,59752,10319,0
2015W40,34393,25895,8498,0
2015W41,32197,22256,8208,1733
2015W42,26029,16960,6023,3046
2015W43,27590,18748,5597,3245
2015W44,23428,16973,3881,2574
2015W45,28045,18464,6401,3180
2015W46,29013,19445,6507,3061
2015W47,26508,16672,6588,3248
2015W48,28730,18829,6868,3033
2015W49,28478,18663,6633,3182
2015W50,31201,19248,8603,3350
2015W51,36853,23998,9056,3799
2015W52,26778,20150,5286,1342
2015W53,31304,29013,1881,410
2016W01,16325,13075,2715,535
2016W02,28377,23365,4402,610
2016W03,22688,18291,3868,529
2016W04,29351,24526,4061,764
2016W05,40232,32658,6757,817
2016W06,37459,28984,7412,1063
2016W07,32995,24294,7509,1192
2016W08,37107,28367,7485,1255
2016W09,30699,23167,6548,984
2016W10,29982,21960,7143,879
