Date,Total,Desktop site,Mobile site,Zero site
2015W18,3929,3052,877,0
2015W19,4647,3819,828,0
2015W20,4589,3662,927,0
2015W21,4389,3527,862,0
2015W22,3393,2563,830,0
2015W23,4429,2830,1599,0
2015W24,4605,3506,1099,0
2015W25,2844,1749,1095,0
2015W26,2341,1640,701,0
2015W27,2429,1685,744,0
2015W28,2827,2271,556,0
2015W29,2820,1562,1258,0
2015W30,2336,1634,702,0
2015W31,2232,1400,832,0
2015W32,2237,860,1377,0
2015W33,2477,1842,635,0
2015W34,4099,3039,1060,0
2015W35,2177,1418,759,0
2015W36,2404,1631,773,0
2015W37,2592,2011,581,0
2015W38,2570,1894,676,0
2015W39,2580,2141,439,0
2015W40,2379,1706,673,0
2015W41,1522,937,493,92
2015W42,1739,1005,505,229
2015W43,1903,1090,518,295
2015W44,2319,1627,482,210
2015W45,1919,1205,488,226
2015W46,1848,1084,530,234
2015W47,1994,1227,475,292
2015W48,1676,1032,444,200
2015W49,1898,991,657,250
2015W50,2939,1894,826,219
2015W51,1976,1138,587,251
2015W52,1676,899,585,192
2015W53,1858,1162,557,139
2016W01,1993,1118,702,173
2016W02,1615,1036,384,195
2016W03,2251,1445,594,212
2016W04,2179,1339,650,190
2016W05,1547,898,489,160
2016W06,2037,1210,580,247
2016W07,2406,1496,735,175
2016W08,2345,1513,640,192
2016W09,7063,6438,469,156
2016W10,2329,1624,507,198
2016W11,1909,1160,605,144
2016W12,1985,1338,536,111
2016W13,3173,2410,625,138
2016W14,2167,1479,539,149
2016W15,3177,2395,631,151
2016W16,3811,2856,802,153
2016W17,8669,2521,5891,257
2016W18,3394,2516,620,258
2016W19,2905,1914,748,243
2016W20,4065,3184,699,182
2016W21,2115,1054,849,212
2016W22,2290,1716,419,155
2016W23,1552,896,507,149
2016W24,1766,1041,595,130
2016W25,2158,1154,609,395
2016W26,2937,1313,1515,109
2016W27,2151,1118,877,156
2016W28,2194,1548,478,168
2016W29,1496,784,561,151
2016W30,1691,932,508,251
2016W31,1752,1038,550,164
2016W32,1814,1132,585,97
2016W33,2266,1535,569,162
2016W34,2184,1376,651,157
2016W35,1899,1039,733,127
2016W36,2086,1365,616,105
2016W37,1537,920,476,141
2016W38,1670,981,554,135
2016W39,1925,1236,585,104
2016W40,3975,3188,663,124
2016W41,2070,1292,619,159
2016W42,2393,1408,838,147
2016W43,1952,1075,762,115
2016W44,1715,966,640,109
2016W45,1713,970,606,137
2016W46,1791,1016,619,156
