Date,Total,Desktop site,Mobile site,Zero site
2015W18,152242,146951,4995,296
2015W19,158263,152769,5191,303
2015W20,121211,115360,5482,369
2015W21,145443,141359,3747,337
2015W22,126170,120887,5021,262
2015W23,113559,108826,4332,401
2015W24,133261,128425,4439,397
2015W25,85963,82688,3101,174
2015W26,93520,89023,4303,194
2015W27,89451,83535,5686,230
2015W28,332728,325430,7071,227
2015W29,123479,87991,35274,214
2015W30,71573,66665,4713,195
2015W31,73758,68271,5204,283
2015W32,81022,72679,8051,292
2015W33,68727,62849,5663,215
2015W34,114685,106418,8030,237
2015W35,100418,94320,5902,196
2015W36,97181,92653,4218,310
2015W37,93021,89294,3515,212
2015W38,96971,92904,3784,283
2015W39,129470,126638,2583,249
2015W40,96626,92532,3571,523
2015W41,83514,79996,3167,351
2015W42,67340,63890,3125,325
2015W43,57743,54476,2926,341
2015W44,55708,52172,3118,418
2015W45,47252,44150,2709,393
2015W46,45112,41959,2897,256
2015W47,45150,41339,3478,333
2015W48,27394,23759,3307,328
2015W49,22069,19148,2633,288
2015W50,29080,24977,3877,226
2015W51,40365,37102,2975,288
2015W52,25972,22882,2867,223
2015W53,22612,20129,2212,271
2016W01,29070,25951,2865,254
2016W02,34197,31096,2862,239
2016W03,55286,50843,4175,268
2016W04,166808,162829,3620,359
2016W05,42123,38973,2751,399
2016W06,30422,27180,2836,406
2016W07,37570,34365,2818,387
2016W08,38000,34966,2633,401
2016W09,42072,38579,3177,316
2016W10,121016,109502,11159,355
2016W11,39062,36538,2225,299
2016W12,38231,35370,2562,299
