Date,Total,Desktop site,Mobile site,Zero site
2015W18,1660,1418,242,0
2015W19,1658,1372,286,0
2015W20,1186,998,188,0
2015W21,1370,1125,245,0
2015W22,1800,1564,236,0
2015W23,2497,2119,378,0
2015W24,2359,1973,386,0
2015W25,588,515,73,0
2015W26,654,613,41,0
2015W27,651,627,24,0
2015W28,600,547,53,0
2015W29,650,601,49,0
2015W30,692,647,45,0
2015W31,872,737,135,0
2015W32,798,712,86,0
2015W33,848,794,54,0
2015W34,643,610,33,0
2015W35,346,279,67,0
2015W36,393,316,77,0
2015W37,800,767,33,0
2015W38,1048,996,52,0
2015W39,1161,1095,66,0
2015W40,1125,1091,34,0
2015W41,608,566,42,0
2015W42,813,721,92,0
2015W43,535,488,43,4
2015W44,396,358,37,1
2015W45,482,431,48,3
2015W46,448,404,40,4
2015W47,352,322,29,1
2015W48,371,349,21,1
2015W49,356,329,26,1
2015W50,490,442,45,3
2015W51,349,319,26,4
2015W52,400,356,42,2
2015W53,440,396,44,0
2016W01,652,612,27,13
2016W02,795,755,40,0
2016W03,896,857,39,0
2016W04,695,678,17,0
2016W05,453,405,40,8
2016W06,355,333,21,1
2016W07,775,718,54,3
2016W08,486,416,70,0
2016W09,686,605,79,2
2016W10,235,226,9,0
2016W11,311,286,25,0
2016W12,328,311,16,1
2016W13,277,221,51,5
2016W14,359,330,27,2
2016W15,1601,1585,10,6
2016W16,335,308,26,1
2016W17,6382,3317,3051,14
2016W18,829,803,26,0
2016W19,552,512,37,3
2016W20,603,562,37,4
2016W21,2432,718,1712,2
2016W22,484,461,15,8
2016W23,478,454,23,1
2016W24,1183,1081,94,8
2016W25,670,635,34,1
2016W26,1936,1882,47,7
