Date,Total,Desktop site,Mobile site,Zero site
2015W18,786,723,63,0
2015W19,1304,1189,115,0
2015W20,785,693,92,0
2015W21,1074,917,157,0
2015W22,943,761,182,0
2015W23,1283,1141,142,0
2015W24,1230,1070,160,0
2015W25,593,544,49,0
2015W26,601,595,6,0
2015W27,374,334,40,0
2015W28,486,450,36,0
2015W29,296,280,16,0
2015W30,765,672,93,0
2015W31,686,607,79,0
2015W32,463,446,17,0
2015W33,426,415,11,0
2015W34,626,620,6,0
2015W35,727,697,30,0
2015W36,477,438,39,0
2015W37,1646,1626,20,0
2015W38,1112,1073,39,0
2015W39,800,772,28,0
2015W40,1420,1400,20,0
2015W41,411,406,5,0
2015W42,564,500,63,1
2015W43,704,664,40,0
2015W44,674,660,13,1
2015W45,634,603,31,0
