Date,Total,Desktop site,Mobile site,Zero site
2015W18,599,562,37,0
2015W19,772,741,31,0
2015W20,426,391,35,0
2015W21,712,679,33,0
2015W22,858,830,28,0
2015W23,1048,980,68,0
2015W24,936,877,59,0
2015W25,256,245,11,0
2015W26,328,320,8,0
2015W27,265,262,3,0
2015W28,279,273,6,0
2015W29,253,242,11,0
2015W30,355,347,8,0
2015W31,513,490,23,0
2015W32,399,370,29,0
2015W33,313,296,17,0
2015W34,186,185,1,0
2015W35,103,78,25,0
2015W36,157,132,25,0
2015W37,160,153,7,0
2015W38,233,207,26,0
2015W39,629,607,22,0
2015W40,864,850,14,0
2015W41,203,186,17,0
2015W42,85,81,4,0
2015W43,147,126,21,0
2015W44,129,118,11,0
2015W45,192,163,29,0
2015W46,98,95,3,0
2015W47,101,78,23,0
2015W48,95,82,13,0
2015W49,110,84,26,0
2015W50,63,55,8,0
2015W51,202,99,103,0
2015W52,135,95,40,0
2015W53,150,118,32,0
2016W01,162,147,15,0
2016W02,186,161,25,0
2016W03,192,178,14,0
2016W04,140,125,14,1
2016W05,153,124,29,0
2016W06,80,71,9,0
2016W07,88,80,8,0
2016W08,193,128,64,1
2016W09,295,234,61,0
2016W10,25,25,0,0
2016W11,68,62,6,0
2016W12,207,174,32,1
2016W13,108,75,33,0
2016W14,87,63,24,0
2016W15,66,62,4,0
2016W16,77,65,11,1
2016W17,3022,2988,34,0
2016W18,128,98,30,0
2016W19,87,63,24,0
2016W20,110,85,25,0
