Date,Total,Desktop site,Mobile site,Zero site
2015W18,2491,1971,520,0
2015W19,2961,2613,348,0
2015W20,2034,1644,390,0
2015W21,2060,1524,536,0
2015W22,2156,1557,599,0
2015W23,2660,2020,640,0
2015W24,3957,3200,757,0
2015W25,2770,2538,232,0
2015W26,2352,2196,156,0
2015W27,2150,2036,114,0
2015W28,2554,2465,89,0
2015W29,2479,2007,472,0
2015W30,1876,1729,147,0
2015W31,1551,1315,236,0
2015W32,1107,926,181,0
2015W33,1176,1098,78,0
2015W34,753,658,95,0
2015W35,1404,1309,95,0
2015W36,1564,1441,123,0
2015W37,964,917,47,0
2015W38,1338,1222,116,0
2015W39,2301,2229,72,0
2015W40,2334,2150,184,0
2015W41,1196,1084,101,11
2015W42,1201,1041,123,37
2015W43,1022,910,63,49
2015W44,1549,1395,80,74
2015W45,1170,827,224,119
2015W46,2030,1906,100,24
2015W47,1651,1504,93,54
2015W48,739,589,101,49
2015W49,802,669,74,59
2015W50,2411,2106,281,24
2015W51,1054,871,111,72
2015W52,1090,745,307,38
2015W53,888,639,125,124
2016W01,1952,1197,709,46
2016W02,850,730,80,40
2016W03,2211,1823,250,138
2016W04,1086,937,82,67
2016W05,1082,975,78,29
2016W06,1476,1142,294,40
2016W07,2441,1763,622,56
2016W08,1542,1181,291,70
2016W09,1015,770,104,141
2016W10,764,592,85,87
2016W11,1129,868,158,103
2016W12,1388,790,415,183
2016W13,1544,1030,395,119
2016W14,671,510,106,55
2016W15,1147,913,162,72
2016W16,2588,2047,485,56
2016W17,12542,2328,10127,87
2016W18,1261,947,245,69
2016W19,1028,905,80,43
2016W20,9622,8950,605,67
2016W21,2474,1880,562,32
2016W22,2532,2266,199,67
2016W23,42271,42144,87,40
2016W24,1238,892,298,48
2016W25,1167,913,197,57
2016W26,1914,1456,397,61
2016W27,2000,1480,457,63
2016W28,1565,1206,314,45
2016W29,752,609,90,53
2016W30,1165,915,148,102
2016W31,1793,1497,222,74
2016W32,2192,1730,429,33
2016W33,2263,1742,487,34
2016W34,1877,1532,303,42
2016W35,1596,1079,477,40
2016W36,1387,1137,214,36
2016W37,1516,1160,310,46
2016W38,1121,865,224,32
2016W39,1447,1213,161,73
2016W40,6732,6254,453,25
2016W41,1575,1225,317,33
2016W42,2935,2150,738,47
2016W43,1386,972,299,115
2016W44,1722,1144,480,98
2016W45,994,736,189,69
2016W46,1047,758,272,17
2016W47,1339,969,314,56
2016W48,1277,1029,175,73
2016W49,16679,8104,8543,32
2016W50,1924,1139,744,41
2016W51,1287,973,247,67
2016W52,1728,1082,594,52
2017W01,4719,2189,2432,98
2017W02,4604,2116,2430,58
2017W03,1263,911,292,60
2017W04,1319,1050,204,65
2017W05,1222,1006,163,53
2017W06,1199,951,194,54
2017W07,1159,908,180,71
2017W08,1118,775,289,54
2017W09,974,672,194,108
2017W10,5981,5610,327,44
2017W11,991,749,155,87
2017W12,758,558,128,72
2017W13,1208,923,207,78
2017W14,1075,784,191,100
2017W15,960,701,183,76
2017W16,1112,728,327,57
2017W17,1159,836,240,83
2017W18,5280,4889,323,68
2017W19,1372,977,338,57
2017W20,1103,683,338,82
2017W21,1115,859,201,55
2017W22,1157,770,352,35
2017W23,1121,825,256,40
2017W24,896,521,319,56
2017W25,1211,770,317,124
2017W26,1210,962,208,40
2017W27,1980,1590,313,77
2017W28,1707,1427,212,68
2017W29,1909,1656,180,73
