Date,Total,Desktop site,Mobile site,Zero site
2015W18,30034,27244,2730,60
2015W19,22273,20812,1358,103
2015W20,23887,22070,1682,135
2015W21,24483,22748,1653,82
2015W22,27394,25890,1426,78
2015W23,29307,26953,2307,47
2015W24,25443,23239,2119,85
2015W25,21482,20233,1171,78
2015W26,19659,18595,1001,63
2015W27,18816,17748,1010,58
2015W28,29773,27891,1806,76
2015W29,14359,10588,3713,58
2015W30,12963,12072,800,91
2015W31,23499,21411,1983,105
2015W32,17262,15969,1258,35
2015W33,15188,14191,946,51
2015W34,26336,21608,4677,51
2015W35,19810,17402,2332,76
2015W36,16861,15575,1220,66
2015W37,14834,13604,1131,99
2015W38,32345,30926,1242,177
2015W39,27191,26072,1051,68
2015W40,19596,17927,1598,71
2015W41,14789,13903,788,98
2015W42,19712,18577,1042,93
2015W43,13234,12224,910,100
2015W44,13630,12199,1339,92
2015W45,13410,12302,1004,104
2015W46,9028,7947,953,128
2015W47,13450,12369,996,85
2015W48,14437,12817,1515,105
2015W49,12114,11041,982,91
2015W50,13017,11462,1425,130
2015W51,20953,19868,1000,85
2015W52,12779,11481,1186,112
2015W53,16726,15847,780,99
2016W01,16466,15105,1304,57
2016W02,17216,15290,1825,101
2016W03,21422,19572,1701,149
2016W04,17052,15891,1086,75
2016W05,16064,14845,1103,116
2016W06,11053,10102,847,104
2016W07,15977,14854,1035,88
2016W08,14021,13020,946,55
2016W09,16364,15006,1259,99
2016W10,10597,9762,707,128
2016W11,15100,13191,1787,122
2016W12,15582,14394,1092,96
2016W13,24653,20151,4419,83
2016W14,22728,20987,1680,61
2016W15,13076,12030,943,103
2016W16,16229,14794,1337,98
2016W17,23681,18583,5015,83
2016W18,26490,24378,2032,80
2016W19,12496,11661,710,125
2016W20,17162,16069,981,112
2016W21,15655,14976,582,97
2016W22,11585,11120,396,69
2016W23,11054,10587,389,78
2016W24,33941,32846,978,117
2016W25,12022,11352,580,90
2016W26,14850,14392,403,55
2016W27,15616,15138,413,65
2016W28,18627,17216,1343,68
2016W29,13330,12739,502,89
2016W30,12999,12477,464,58
2016W31,15769,15208,458,103
2016W32,11436,10910,472,54
2016W33,17084,16308,717,59
2016W34,25077,24115,908,54
2016W35,12764,12014,716,34
2016W36,14236,12847,1360,29
2016W37,15669,14898,695,76
2016W38,21099,20065,998,36
2016W39,25968,24226,1688,54
2016W40,15661,14945,672,44
2016W41,24998,23530,1384,84
2016W42,21105,19651,1278,176
2016W43,23404,22557,807,40
2016W44,23144,22444,679,21
2016W45,24818,23874,906,38
2016W46,25942,24968,931,43
2016W47,21622,20940,650,32
2016W48,19279,18651,585,43
2016W49,18811,18150,629,32
2016W50,19282,18419,805,58
2016W51,21385,20690,651,44
2016W52,19655,17984,640,1031
2017W01,19120,18317,754,49
