Date,Total,Desktop site,Mobile site,Zero site
2015W18,1619,1255,364,0
2015W19,2334,2006,328,0
2015W20,1604,1410,194,0
2015W21,1337,999,338,0
2015W22,1741,1400,341,0
2015W23,2189,1744,445,0
2015W24,2618,1925,693,0
2015W25,808,654,154,0
2015W26,693,645,48,0
2015W27,429,339,90,0
2015W28,1033,1013,20,0
2015W29,585,506,79,0
2015W30,969,878,91,0
2015W31,1120,1012,108,0
2015W32,846,783,63,0
2015W33,476,391,85,0
2015W34,325,215,110,0
2015W35,260,147,113,0
2015W36,342,292,50,0
2015W37,638,624,14,0
2015W38,509,470,39,0
2015W39,817,791,26,0
2015W40,890,847,43,0
2015W41,330,293,35,2
2015W42,412,329,82,1
2015W43,356,313,40,3
2015W44,653,623,22,8
2015W45,497,342,153,2
2015W46,504,444,60,0
2015W47,265,219,44,2
2015W48,290,273,17,0
2015W49,390,318,43,29
2015W50,462,412,50,0
2015W51,416,363,46,7
2015W52,346,276,70,0
2015W53,374,312,62,0
2016W01,606,399,207,0
2016W02,404,377,27,0
2016W03,849,763,86,0
2016W04,498,482,16,0
2016W05,415,378,37,0
2016W06,767,662,105,0
2016W07,792,591,199,2
2016W08,603,485,118,0
2016W09,325,251,74,0
2016W10,416,401,15,0
2016W11,504,458,46,0
2016W12,617,500,117,0
2016W13,467,321,146,0
2016W14,182,146,36,0
