Date,Total,Desktop site,Mobile site,Zero site
2015W18,10938,8164,2774,0
2015W19,26107,23468,2639,0
2015W20,51217,45079,6138,0
2015W21,10370,7981,2389,0
2015W22,12415,10024,2391,0
2015W23,12705,10247,2458,0
2015W24,12239,9626,2613,0
2015W25,11811,9270,2541,0
2015W26,12621,8100,4521,0
2015W27,14153,11004,3149,0
2015W28,11413,8276,3137,0
2015W29,14421,9109,5312,0
2015W30,10568,7733,2835,0
2015W31,10148,6955,3193,0
2015W32,8912,6040,2872,0
2015W33,10430,7524,2906,0
2015W34,26269,21891,4378,0
2015W35,8854,6377,2477,0
2015W36,14966,12167,2799,0
2015W37,7590,5772,1818,0
2015W38,9128,7650,1478,0
2015W39,8197,6666,1531,0
2015W40,16824,14003,2821,0
2015W41,8109,6544,1482,83
2015W42,7366,5505,1806,55
2015W43,10981,9311,1588,82
2015W44,6291,4630,1615,46
2015W45,6848,5327,1469,52
2015W46,9044,7202,1757,85
2015W47,7776,5883,1819,74
2015W48,76329,52810,23393,126
2015W49,6701,5139,1426,136
2015W50,12533,9395,2712,426
2015W51,8256,6639,1524,93
2015W52,5652,4493,1093,66
2015W53,7003,5689,1230,84
2016W01,7462,5947,1447,68
2016W02,8510,6319,2044,147
2016W03,8406,6849,1411,146
2016W04,9908,8207,1601,100
2016W05,10056,8713,1212,131
2016W06,5941,4496,1382,63
2016W07,12018,10244,1686,88
2016W08,12955,11300,1552,103
2016W09,7323,5893,1336,94
2016W10,11889,10053,1717,119
2016W11,6698,5078,1488,132
2016W12,7928,6317,1433,178
2016W13,7504,5737,1642,125
2016W14,14618,12295,2247,76
2016W15,9062,7062,1903,97
2016W16,10369,8363,1822,184
2016W17,17760,10849,6806,105
2016W18,7500,5906,1498,96
2016W19,9080,7508,1427,145
2016W20,9211,7543,1607,61
2016W21,12109,10341,1673,95
2016W22,8780,6864,1722,194
2016W23,8462,6851,1487,124
2016W24,11249,9174,1875,200
2016W25,9476,7718,1584,174
2016W26,9230,7482,1649,99
2016W27,20921,18805,1977,139
2016W28,27387,25067,2072,248
2016W29,7649,5923,1570,156
2016W30,10591,8618,1872,101
2016W31,15059,12289,2678,92
2016W32,15642,13176,2358,108
2016W33,9920,8121,1689,110
2016W34,12407,9976,2358,73
2016W35,10889,9138,1657,94
2016W36,8726,7272,1406,48
2016W37,8909,7158,1664,87
2016W38,8480,6742,1642,96
